"horodatage";"places_disponibles"
14/03/21 00:01;"NA"
15/03/21 02:41;"NA"
16/03/21 05:21;"NA"
17/03/21 08:01;"NA"
18/03/21 10:41;"NA"
19/03/21 13:28;"NA"
20/03/21 16:08;165
21/03/21 18:47;156
22/03/21 21:27;136
24/03/21 00:09;144
25/03/21 02:49;142
26/03/21 05:30;153
27/03/21 08:10;149
30/03/21 05:33;140
01/04/21 00:19;148
02/04/21 02:59;159
03/04/21 05:39;147
04/04/21 08:19;165
05/04/21 11:01;175
28/03/21 10:17;153
28/03/21 23:37;143
06/04/21 14:03;119
07/04/21 16:43;127
08/04/21 19:23;134
09/04/21 22:04;132
11/04/21 00:44;133
12/04/21 03:23;130
13/04/21 06:03;128
13/04/21 15:25;156
15/04/21 11:23;152
16/04/21 14:03;155
17/04/21 16:43;154
18/04/21 19:23;159
19/04/21 22:03;145
21/04/21 00:43;141
22/04/21 03:23;145
23/04/21 06:03;146
24/04/21 08:43;143
25/04/21 11:23;161
26/04/21 14:04;"NA"
27/04/21 16:43;140
28/04/21 19:23;153
29/04/21 22:04;153
01/05/21 00:43;142
02/05/21 03:23;143
03/05/21 06:03;126
04/05/21 08:43;132
05/05/21 11:23;133
06/05/21 14:03;108
07/05/21 16:43;132
08/05/21 19:23;170
09/05/21 22:03;160
11/05/21 00:43;135
12/05/21 03:27;142
13/05/21 06:07;170
14/05/21 08:47;174
15/05/21 11:28;175
16/05/21 14:07;"NA"
