"""horodatage"" ;places_disponibles"
"14/03/21 00:00;133"
"15/03/21 02:40;135"
"16/03/21 05:20;133"
"17/03/21 08:00;128"
"18/03/21 10:40;97"
"19/03/21 13:26;111"
"20/03/21 16:06;126"
"21/03/21 18:46;130"
"22/03/21 21:26;132"
"24/03/21 00:08;131"
"25/03/21 02:48;132"
"26/03/21 05:28;131"
"27/03/21 08:08;126"
"30/03/21 05:32;132"
"01/04/21 00:18;130"
"02/04/21 02:58;130"
"03/04/21 05:38;127"
"04/04/21 08:18;127"
"05/04/21 11:00;120"
"28/03/21 10:18;125"
"28/03/21 23:38;132"
"06/04/21 14:02;90"
"07/04/21 16:42;99"
"08/04/21 19:22;114"
"09/04/21 22:02;124"
"11/04/21 00:42;125"
"12/04/21 03:22;125"
"13/04/21 06:02;123"
"13/04/21 15:26;98"
"15/04/21 11:22;96"
"16/04/21 14:02;93"
"17/04/21 16:42;113"
"18/04/21 19:22;119"
"19/04/21 22:02;119"
"21/04/21 00:42;123"
"22/04/21 03:22;123"
"23/04/21 06:02;122"
"24/04/21 08:42;115"
"25/04/21 11:22;119"
"26/04/21 14:02;93"
"27/04/21 16:42;94"
"28/04/21 19:22;108"
"29/04/21 22:02;116"
"01/05/21 00:42;114"
"02/05/21 03:22;117"
"03/05/21 06:02;116"
"04/05/21 08:42;99"
"05/05/21 11:22;88"
"06/05/21 14:02;80"
"07/05/21 16:42;92"
"08/05/21 19:22;105"
"09/05/21 22:02;112"
"11/05/21 00:42;111"
"12/05/21 03:26;107"
"13/05/21 06:06;108"
"14/05/21 08:46;97"
"15/05/21 11:26;97"
"16/05/21 14:06;93"
