id,code_parking,type_compteur,horodatage,places_disponibles
102039,PMO95,STANDARD,"2021-03-12 18:54:00",371
102089,PMO95,STANDARD,"2021-03-12 18:56:00",371
102141,PMO95,STANDARD,"2021-03-12 18:58:00",371
102192,PMO95,STANDARD,"2021-03-12 19:00:00",372
102243,PMO95,STANDARD,"2021-03-12 19:02:00",373
102294,PMO95,STANDARD,"2021-03-12 19:04:00",373
102345,PMO95,STANDARD,"2021-03-12 19:06:00",374
102396,PMO95,STANDARD,"2021-03-12 19:08:00",373
102447,PMO95,STANDARD,"2021-03-12 19:10:00",373
102498,PMO95,STANDARD,"2021-03-12 19:12:00",373
102548,PMO95,STANDARD,"2021-03-12 19:14:00",373
102600,PMO95,STANDARD,"2021-03-12 19:16:00",373
102651,PMO95,STANDARD,"2021-03-12 19:18:00",373
102702,PMO95,STANDARD,"2021-03-12 19:20:00",373
102753,PMO95,STANDARD,"2021-03-12 19:22:00",372
102804,PMO95,STANDARD,"2021-03-12 19:24:00",373
102855,PMO95,STANDARD,"2021-03-12 19:26:00",374
102906,PMO95,STANDARD,"2021-03-12 19:28:00",375
102957,PMO95,STANDARD,"2021-03-12 19:30:00",375
103007,PMO95,STANDARD,"2021-03-12 19:32:00",375
103059,PMO95,STANDARD,"2021-03-12 19:34:00",376
103110,PMO95,STANDARD,"2021-03-12 19:36:00",376
103161,PMO95,STANDARD,"2021-03-12 19:38:00",376
103212,PMO95,STANDARD,"2021-03-12 19:40:00",377
103263,PMO95,STANDARD,"2021-03-12 19:42:00",377
103314,PMO95,STANDARD,"2021-03-12 19:44:00",377
103365,PMO95,STANDARD,"2021-03-12 19:46:00",378
103416,PMO95,STANDARD,"2021-03-12 19:48:00",379
103466,PMO95,STANDARD,"2021-03-12 19:50:00",379
103518,PMO95,STANDARD,"2021-03-12 19:52:00",379
103569,PMO95,STANDARD,"2021-03-12 19:54:00",379
103620,PMO95,STANDARD,"2021-03-12 19:56:00",380
103671,PMO95,STANDARD,"2021-03-12 19:58:00",381
103722,PMO95,STANDARD,"2021-03-12 20:00:00",382
103773,PMO95,STANDARD,"2021-03-12 20:02:00",381
103824,PMO95,STANDARD,"2021-03-12 20:04:00",381
103875,PMO95,STANDARD,"2021-03-12 20:06:00",382
103925,PMO95,STANDARD,"2021-03-12 20:08:00",382
103977,PMO95,STANDARD,"2021-03-12 20:10:00",382
104028,PMO95,STANDARD,"2021-03-12 20:12:00",382
104079,PMO95,STANDARD,"2021-03-12 20:14:00",382
104130,PMO95,STANDARD,"2021-03-12 20:16:00",382
104181,PMO95,STANDARD,"2021-03-12 20:18:00",384
104232,PMO95,STANDARD,"2021-03-12 20:20:00",384
104283,PMO95,STANDARD,"2021-03-12 20:22:00",384
104334,PMO95,STANDARD,"2021-03-12 20:24:00",384
104384,PMO95,STANDARD,"2021-03-12 20:26:00",385
104436,PMO95,STANDARD,"2021-03-12 20:28:00",386
104487,PMO95,STANDARD,"2021-03-12 20:30:00",386
104538,PMO95,STANDARD,"2021-03-12 20:32:00",385
104589,PMO95,STANDARD,"2021-03-12 20:34:00",384
104640,PMO95,STANDARD,"2021-03-12 20:36:00",384
104691,PMO95,STANDARD,"2021-03-12 20:38:00",384
104742,PMO95,STANDARD,"2021-03-12 20:40:00",384
104793,PMO95,STANDARD,"2021-03-12 20:42:00",384
104843,PMO95,STANDARD,"2021-03-12 20:44:00",384
104895,PMO95,STANDARD,"2021-03-12 20:46:00",384
104946,PMO95,STANDARD,"2021-03-12 20:48:00",384
104997,PMO95,STANDARD,"2021-03-12 20:50:00",384
105048,PMO95,STANDARD,"2021-03-12 20:52:00",384
105099,PMO95,STANDARD,"2021-03-12 20:54:00",384
105150,PMO95,STANDARD,"2021-03-12 20:56:00",385
105201,PMO95,STANDARD,"2021-03-12 20:58:00",385
105252,PMO95,STANDARD,"2021-03-12 21:00:00",385
105302,PMO95,STANDARD,"2021-03-12 21:02:00",385
105354,PMO95,STANDARD,"2021-03-12 21:04:00",385
105405,PMO95,STANDARD,"2021-03-12 21:06:00",385
105456,PMO95,STANDARD,"2021-03-12 21:08:00",385
105507,PMO95,STANDARD,"2021-03-12 21:10:00",385
105558,PMO95,STANDARD,"2021-03-12 21:12:00",386
105609,PMO95,STANDARD,"2021-03-12 21:14:00",386
105660,PMO95,STANDARD,"2021-03-12 21:16:00",386
105711,PMO95,STANDARD,"2021-03-12 21:18:00",386
105761,PMO95,STANDARD,"2021-03-12 21:20:00",386
105813,PMO95,STANDARD,"2021-03-12 21:22:00",386
105864,PMO95,STANDARD,"2021-03-12 21:24:00",386
105915,PMO95,STANDARD,"2021-03-12 21:26:00",387
105966,PMO95,STANDARD,"2021-03-12 21:28:00",387
106017,PMO95,STANDARD,"2021-03-12 21:30:00",387
106068,PMO95,STANDARD,"2021-03-12 21:32:00",387
106119,PMO95,STANDARD,"2021-03-12 21:34:00",387
106170,PMO95,STANDARD,"2021-03-12 21:36:00",387
106220,PMO95,STANDARD,"2021-03-12 21:38:00",387
106272,PMO95,STANDARD,"2021-03-12 21:40:00",387
106323,PMO95,STANDARD,"2021-03-12 21:42:00",386
106374,PMO95,STANDARD,"2021-03-12 21:44:00",386
