id,code_parking,type_compteur,horodatage,places_disponibles
102006,PMO17,STANDARD,"2021-03-12 18:54:00",59
102059,PMO17,STANDARD,"2021-03-12 18:55:00",59
102110,PMO17,STANDARD,"2021-03-12 18:57:00",60
102161,PMO17,STANDARD,"2021-03-12 18:59:00",63
102211,PMO17,STANDARD,"2021-03-12 19:01:00",63
102263,PMO17,STANDARD,"2021-03-12 19:03:00",63
102314,PMO17,STANDARD,"2021-03-12 19:05:00",62
102365,PMO17,STANDARD,"2021-03-12 19:07:00",62
102415,PMO17,STANDARD,"2021-03-12 19:09:00",62
102465,PMO17,STANDARD,"2021-03-12 19:11:00",62
102518,PMO17,STANDARD,"2021-03-12 19:13:00",62
102569,PMO17,STANDARD,"2021-03-12 19:15:00",62
102620,PMO17,STANDARD,"2021-03-12 19:17:00",62
102670,PMO17,STANDARD,"2021-03-12 19:19:00",61
102722,PMO17,STANDARD,"2021-03-12 19:21:00",61
102773,PMO17,STANDARD,"2021-03-12 19:24:00",61
102824,PMO17,STANDARD,"2021-03-12 19:25:00",61
102874,PMO17,STANDARD,"2021-03-12 19:28:00",61
102924,PMO17,STANDARD,"2021-03-12 19:29:00",61
102977,PMO17,STANDARD,"2021-03-12 19:32:00",61
103028,PMO17,STANDARD,"2021-03-12 19:33:00",61
103079,PMO17,STANDARD,"2021-03-12 19:35:00",61
103129,PMO17,STANDARD,"2021-03-12 19:37:00",61
103181,PMO17,STANDARD,"2021-03-12 19:39:00",61
103232,PMO17,STANDARD,"2021-03-12 19:41:00",61
103283,PMO17,STANDARD,"2021-03-12 19:43:00",61
103333,PMO17,STANDARD,"2021-03-12 19:45:00",61
103383,PMO17,STANDARD,"2021-03-12 19:47:00",61
103436,PMO17,STANDARD,"2021-03-12 19:49:00",61
103487,PMO17,STANDARD,"2021-03-12 19:51:00",61
103538,PMO17,STANDARD,"2021-03-12 19:53:00",61
103588,PMO17,STANDARD,"2021-03-12 19:55:00",61
103640,PMO17,STANDARD,"2021-03-12 19:57:00",61
103691,PMO17,STANDARD,"2021-03-12 19:59:00",61
103742,PMO17,STANDARD,"2021-03-12 20:02:00",61
103792,PMO17,STANDARD,"2021-03-12 20:03:00",61
103842,PMO17,STANDARD,"2021-03-12 20:06:00",61
103895,PMO17,STANDARD,"2021-03-12 20:07:00",61
103946,PMO17,STANDARD,"2021-03-12 20:10:00",61
103997,PMO17,STANDARD,"2021-03-12 20:11:00",61
104047,PMO17,STANDARD,"2021-03-12 20:13:00",61
104099,PMO17,STANDARD,"2021-03-12 20:15:00",61
104150,PMO17,STANDARD,"2021-03-12 20:17:00",61
104201,PMO17,STANDARD,"2021-03-12 20:19:00",61
104251,PMO17,STANDARD,"2021-03-12 20:21:00",61
104301,PMO17,STANDARD,"2021-03-12 20:23:00",61
104354,PMO17,STANDARD,"2021-03-12 20:25:00",61
104405,PMO17,STANDARD,"2021-03-12 20:27:00",61
104456,PMO17,STANDARD,"2021-03-12 20:29:00",61
104506,PMO17,STANDARD,"2021-03-12 20:31:00",61
104558,PMO17,STANDARD,"2021-03-12 20:33:00",61
104609,PMO17,STANDARD,"2021-03-12 20:35:00",61
104660,PMO17,STANDARD,"2021-03-12 20:37:00",61
104710,PMO17,STANDARD,"2021-03-12 20:40:00",61
104760,PMO17,STANDARD,"2021-03-12 20:41:00",61
104813,PMO17,STANDARD,"2021-03-12 20:44:00",61
104864,PMO17,STANDARD,"2021-03-12 20:45:00",61
104915,PMO17,STANDARD,"2021-03-12 20:48:00",61
