id,code_parking,type_compteur,horodatage,places_disponibles
102008,PMO04,STANDARD,"2021-03-12 18:53:00",0
102057,PMO04,STANDARD,"2021-03-12 18:55:00",0
102106,PMO04,STANDARD,"2021-03-12 18:57:00",0
102164,PMO04,STANDARD,"2021-03-12 18:59:00",0
102213,PMO04,STANDARD,"2021-03-12 19:01:00",0
102262,PMO04,STANDARD,"2021-03-12 19:03:00",0
102311,PMO04,STANDARD,"2021-03-12 19:05:00",0
102360,PMO04,STANDARD,"2021-03-12 19:07:00",0
102418,PMO04,STANDARD,"2021-03-12 19:09:00",0
102467,PMO04,STANDARD,"2021-03-12 19:11:00",0
102516,PMO04,STANDARD,"2021-03-12 19:13:00",0
102565,PMO04,STANDARD,"2021-03-12 19:15:00",0
102623,PMO04,STANDARD,"2021-03-12 19:17:00",0
102672,PMO04,STANDARD,"2021-03-12 19:19:00",0
102721,PMO04,STANDARD,"2021-03-12 19:21:00",0
102770,PMO04,STANDARD,"2021-03-12 19:23:00",0
102819,PMO04,STANDARD,"2021-03-12 19:25:00",0
102877,PMO04,STANDARD,"2021-03-12 19:27:00",0
102926,PMO04,STANDARD,"2021-03-12 19:29:00",0
102975,PMO04,STANDARD,"2021-03-12 19:31:00",0
103024,PMO04,STANDARD,"2021-03-12 19:33:00",0
103082,PMO04,STANDARD,"2021-03-12 19:35:00",0
103131,PMO04,STANDARD,"2021-03-12 19:37:00",0
103180,PMO04,STANDARD,"2021-03-12 19:39:00",0
103229,PMO04,STANDARD,"2021-03-12 19:41:00",0
103278,PMO04,STANDARD,"2021-03-12 19:43:00",0
103336,PMO04,STANDARD,"2021-03-12 19:45:00",0
103385,PMO04,STANDARD,"2021-03-12 19:47:00",0
103434,PMO04,STANDARD,"2021-03-12 19:49:00",0
103483,PMO04,STANDARD,"2021-03-12 19:51:00",0
103541,PMO04,STANDARD,"2021-03-12 19:53:00",0
103590,PMO04,STANDARD,"2021-03-12 19:55:00",0
103639,PMO04,STANDARD,"2021-03-12 19:57:00",0
103688,PMO04,STANDARD,"2021-03-12 19:59:00",0
103737,PMO04,STANDARD,"2021-03-12 20:01:00",0
103795,PMO04,STANDARD,"2021-03-12 20:03:00",0
103844,PMO04,STANDARD,"2021-03-12 20:05:00",0
103893,PMO04,STANDARD,"2021-03-12 20:07:00",0
103942,PMO04,STANDARD,"2021-03-12 20:09:00",0
104000,PMO04,STANDARD,"2021-03-12 20:11:00",0
104049,PMO04,STANDARD,"2021-03-12 20:13:00",0
104098,PMO04,STANDARD,"2021-03-12 20:15:00",0
104147,PMO04,STANDARD,"2021-03-12 20:17:00",0
104196,PMO04,STANDARD,"2021-03-12 20:19:00",0
104254,PMO04,STANDARD,"2021-03-12 20:21:00",0
104303,PMO04,STANDARD,"2021-03-12 20:23:00",0
104352,PMO04,STANDARD,"2021-03-12 20:25:00",0
104401,PMO04,STANDARD,"2021-03-12 20:27:00",0
104459,PMO04,STANDARD,"2021-03-12 20:29:00",0
104508,PMO04,STANDARD,"2021-03-12 20:31:00",0
104557,PMO04,STANDARD,"2021-03-12 20:33:00",0
104606,PMO04,STANDARD,"2021-03-12 20:35:00",0
