id,code_parking,type_compteur,horodatage,places_disponibles
102029,PMO65,STANDARD,"2021-03-12 18:54:00",276
102080,PMO65,STANDARD,"2021-03-12 18:55:00",276
102131,PMO65,STANDARD,"2021-03-12 18:57:00",276
102182,PMO65,STANDARD,"2021-03-12 18:59:00",275
102233,PMO65,STANDARD,"2021-03-12 19:01:00",275
102284,PMO65,STANDARD,"2021-03-12 19:03:00",275
102335,PMO65,STANDARD,"2021-03-12 19:05:00",275
102386,PMO65,STANDARD,"2021-03-12 19:07:00",275
102437,PMO65,STANDARD,"2021-03-12 19:09:00",275
102488,PMO65,STANDARD,"2021-03-12 19:12:00",275
102539,PMO65,STANDARD,"2021-03-12 19:13:00",275
102590,PMO65,STANDARD,"2021-03-12 19:16:00",275
102641,PMO65,STANDARD,"2021-03-12 19:17:00",275
102692,PMO65,STANDARD,"2021-03-12 19:20:00",275
102743,PMO65,STANDARD,"2021-03-12 19:21:00",275
102794,PMO65,STANDARD,"2021-03-12 19:24:00",275
102845,PMO65,STANDARD,"2021-03-12 19:25:00",275
102896,PMO65,STANDARD,"2021-03-12 19:28:00",275
102947,PMO65,STANDARD,"2021-03-12 19:29:00",274
102998,PMO65,STANDARD,"2021-03-12 19:32:00",274
103049,PMO65,STANDARD,"2021-03-12 19:33:00",275
103100,PMO65,STANDARD,"2021-03-12 19:35:00",275
103151,PMO65,STANDARD,"2021-03-12 19:37:00",275
103202,PMO65,STANDARD,"2021-03-12 19:39:00",275
103253,PMO65,STANDARD,"2021-03-12 19:41:00",275
103304,PMO65,STANDARD,"2021-03-12 19:43:00",276
103355,PMO65,STANDARD,"2021-03-12 19:45:00",276
103406,PMO65,STANDARD,"2021-03-12 19:47:00",276
103457,PMO65,STANDARD,"2021-03-12 19:49:00",276
103508,PMO65,STANDARD,"2021-03-12 19:51:00",276
103559,PMO65,STANDARD,"2021-03-12 19:54:00",276
103610,PMO65,STANDARD,"2021-03-12 19:55:00",276
103661,PMO65,STANDARD,"2021-03-12 19:58:00",276
103712,PMO65,STANDARD,"2021-03-12 19:59:00",276
103763,PMO65,STANDARD,"2021-03-12 20:02:00",276
103814,PMO65,STANDARD,"2021-03-12 20:03:00",276
103865,PMO65,STANDARD,"2021-03-12 20:06:00",276
103916,PMO65,STANDARD,"2021-03-12 20:07:00",276
103967,PMO65,STANDARD,"2021-03-12 20:10:00",276
104018,PMO65,STANDARD,"2021-03-12 20:11:00",276
104069,PMO65,STANDARD,"2021-03-12 20:13:00",276
104120,PMO65,STANDARD,"2021-03-12 20:15:00",276
104171,PMO65,STANDARD,"2021-03-12 20:17:00",276
104222,PMO65,STANDARD,"2021-03-12 20:19:00",276
104273,PMO65,STANDARD,"2021-03-12 20:21:00",276
104324,PMO65,STANDARD,"2021-03-12 20:23:00",276
104375,PMO65,STANDARD,"2021-03-12 20:25:00",276
104426,PMO65,STANDARD,"2021-03-12 20:28:00",276
104477,PMO65,STANDARD,"2021-03-12 20:29:00",276
104528,PMO65,STANDARD,"2021-03-12 20:32:00",276
104579,PMO65,STANDARD,"2021-03-12 20:33:00",276
104630,PMO65,STANDARD,"2021-03-12 20:36:00",276
104681,PMO65,STANDARD,"2021-03-12 20:37:00",276
104732,PMO65,STANDARD,"2021-03-12 20:40:00",276
104783,PMO65,STANDARD,"2021-03-12 20:41:00",276
104834,PMO65,STANDARD,"2021-03-12 20:44:00",276
104885,PMO65,STANDARD,"2021-03-12 20:45:00",276
104936,PMO65,STANDARD,"2021-03-12 20:48:00",276
104987,PMO65,STANDARD,"2021-03-12 20:49:00",276
105038,PMO65,STANDARD,"2021-03-12 20:51:00",276
105089,PMO65,STANDARD,"2021-03-12 20:53:00",276
105140,PMO65,STANDARD,"2021-03-12 20:55:00",276
