id,code_parking,type_compteur,horodatage,places_disponibles
102005,PMO06,DISABLED,"2021-03-12 18:54:00",6
102055,PMO06,DISABLED,"2021-03-12 18:56:00",6
102104,PMO06,DISABLED,"2021-03-12 18:57:00",6
102155,PMO06,DISABLED,"2021-03-12 18:59:00",6
102210,PMO06,DISABLED,"2021-03-12 19:01:00",6
102260,PMO06,DISABLED,"2021-03-12 19:03:00",6
102309,PMO06,DISABLED,"2021-03-12 19:05:00",6
102359,PMO06,DISABLED,"2021-03-12 19:07:00",6
102413,PMO06,DISABLED,"2021-03-12 19:09:00",6
102464,PMO06,DISABLED,"2021-03-12 19:11:00",5
102514,PMO06,DISABLED,"2021-03-12 19:13:00",5
102563,PMO06,DISABLED,"2021-03-12 19:15:00",5
102614,PMO06,DISABLED,"2021-03-12 19:17:00",5
102668,PMO06,DISABLED,"2021-03-12 19:19:00",5
102719,PMO06,DISABLED,"2021-03-12 19:21:00",5
102768,PMO06,DISABLED,"2021-03-12 19:23:00",5
102818,PMO06,DISABLED,"2021-03-12 19:25:00",5
102873,PMO06,DISABLED,"2021-03-12 19:27:00",5
102923,PMO06,DISABLED,"2021-03-12 19:29:00",5
102973,PMO06,DISABLED,"2021-03-12 19:31:00",5
103022,PMO06,DISABLED,"2021-03-12 19:33:00",5
103073,PMO06,DISABLED,"2021-03-12 19:35:00",5
103128,PMO06,DISABLED,"2021-03-12 19:37:00",5
103178,PMO06,DISABLED,"2021-03-12 19:40:00",5
103227,PMO06,DISABLED,"2021-03-12 19:42:00",5
103277,PMO06,DISABLED,"2021-03-12 19:44:00",5
103332,PMO06,DISABLED,"2021-03-12 19:46:00",5
103382,PMO06,DISABLED,"2021-03-12 19:48:00",5
103432,PMO06,DISABLED,"2021-03-12 19:50:00",5
103481,PMO06,DISABLED,"2021-03-12 19:52:00",5
103532,PMO06,DISABLED,"2021-03-12 19:54:00",5
103587,PMO06,DISABLED,"2021-03-12 19:56:00",5
103637,PMO06,DISABLED,"2021-03-12 19:57:00",5
103685,PMO06,DISABLED,"2021-03-12 19:59:00",5
103736,PMO06,DISABLED,"2021-03-12 20:01:00",5
103791,PMO06,DISABLED,"2021-03-12 20:03:00",5
103841,PMO06,DISABLED,"2021-03-12 20:05:00",5
103891,PMO06,DISABLED,"2021-03-12 20:07:00",5
103940,PMO06,DISABLED,"2021-03-12 20:09:00",5
103991,PMO06,DISABLED,"2021-03-12 20:11:00",5
104046,PMO06,DISABLED,"2021-03-12 20:13:00",5
104096,PMO06,DISABLED,"2021-03-12 20:15:00",5
104145,PMO06,DISABLED,"2021-03-12 20:17:00",5
104195,PMO06,DISABLED,"2021-03-12 20:19:00",5
104250,PMO06,DISABLED,"2021-03-12 20:21:00",5
104300,PMO06,DISABLED,"2021-03-12 20:23:00",5
104350,PMO06,DISABLED,"2021-03-12 20:25:00",5
104399,PMO06,DISABLED,"2021-03-12 20:27:00",5
104450,PMO06,DISABLED,"2021-03-12 20:29:00",5
104505,PMO06,DISABLED,"2021-03-12 20:32:00",5
104555,PMO06,DISABLED,"2021-03-12 20:34:00",5
104604,PMO06,DISABLED,"2021-03-12 20:36:00",5
104654,PMO06,DISABLED,"2021-03-12 20:38:00",5
104708,PMO06,DISABLED,"2021-03-12 20:39:00",5
104759,PMO06,DISABLED,"2021-03-12 20:42:00",5
104809,PMO06,DISABLED,"2021-03-12 20:43:00",5
104858,PMO06,DISABLED,"2021-03-12 20:45:00",5
104909,PMO06,DISABLED,"2021-03-12 20:47:00",5
104963,PMO06,DISABLED,"2021-03-12 20:49:00",5
105014,PMO06,DISABLED,"2021-03-12 20:51:00",5
105063,PMO06,DISABLED,"2021-03-12 20:54:00",5
105113,PMO06,DISABLED,"2021-03-12 20:56:00",5
105168,PMO06,DISABLED,"2021-03-12 20:58:00",5
105218,PMO06,DISABLED,"2021-03-12 21:00:00",5
105267,PMO06,DISABLED,"2021-03-12 21:02:00",5
105317,PMO06,DISABLED,"2021-03-12 21:03:00",5
105368,PMO06,DISABLED,"2021-03-12 21:05:00",5
105423,PMO06,DISABLED,"2021-03-12 21:07:00",5
105472,PMO06,DISABLED,"2021-03-12 21:09:00",5
105522,PMO06,DISABLED,"2021-03-12 21:11:00",5
105572,PMO06,DISABLED,"2021-03-12 21:13:00",5
105627,PMO06,DISABLED,"2021-03-12 21:15:00",5
105677,PMO06,DISABLED,"2021-03-12 21:17:00",5
105726,PMO06,DISABLED,"2021-03-12 21:19:00",5
105776,PMO06,DISABLED,"2021-03-12 21:21:00",5
105827,PMO06,DISABLED,"2021-03-12 21:23:00",5
105882,PMO06,DISABLED,"2021-03-12 21:26:00",5
105932,PMO06,DISABLED,"2021-03-12 21:28:00",5
105981,PMO06,DISABLED,"2021-03-12 21:30:00",5
106031,PMO06,DISABLED,"2021-03-12 21:32:00",5
106086,PMO06,DISABLED,"2021-03-12 21:34:00",5
106136,PMO06,DISABLED,"2021-03-12 21:35:00",5
106186,PMO06,DISABLED,"2021-03-12 21:37:00",5
106235,PMO06,DISABLED,"2021-03-12 21:39:00",5
106286,PMO06,DISABLED,"2021-03-12 21:41:00",5
106341,PMO06,DISABLED,"2021-03-12 21:43:00",5
106391,PMO06,DISABLED,"2021-03-12 21:45:00",5
106440,PMO06,DISABLED,"2021-03-12 21:47:00",5
106490,PMO06,DISABLED,"2021-03-12 21:49:00",5
106545,PMO06,DISABLED,"2021-03-12 21:51:00",5
106595,PMO06,DISABLED,"2021-03-12 21:53:00",5
106645,PMO06,DISABLED,"2021-03-12 21:55:00",5
106694,PMO06,DISABLED,"2021-03-12 21:57:00",5
106745,PMO06,DISABLED,"2021-03-12 22:00:00",5
106800,PMO06,DISABLED,"2021-03-12 22:02:00",5
106850,PMO06,DISABLED,"2021-03-12 22:04:00",5
106899,PMO06,DISABLED,"2021-03-12 22:06:00",5
106949,PMO06,DISABLED,"2021-03-12 22:08:00",5
107003,PMO06,DISABLED,"2021-03-12 22:09:00",5
107054,PMO06,DISABLED,"2021-03-12 22:11:00",5
107103,PMO06,DISABLED,"2021-03-12 22:13:00",5
107153,PMO06,DISABLED,"2021-03-12 22:15:00",5
107204,PMO06,DISABLED,"2021-03-12 22:18:00",5
107259,PMO06,DISABLED,"2021-03-12 22:20:00",5
107309,PMO06,DISABLED,"2021-03-12 22:21:00",5
107358,PMO06,DISABLED,"2021-03-12 22:24:00",5
107408,PMO06,DISABLED,"2021-03-12 22:26:00",5
107463,PMO06,DISABLED,"2021-03-12 22:28:00",5
107512,PMO06,DISABLED,"2021-03-12 22:29:00",5
107563,PMO06,DISABLED,"2021-03-12 22:31:00",5
107612,PMO06,DISABLED,"2021-03-12 22:33:00",5
107663,PMO06,DISABLED,"2021-03-12 22:35:00",5
107718,PMO06,DISABLED,"2021-03-12 22:37:00",5
107767,PMO06,DISABLED,"2021-03-12 22:39:00",5
107817,PMO06,DISABLED,"2021-03-12 22:41:00",5
