id,code_parking,type_compteur,horodatage,places_disponibles
102031,PMO06,STANDARD,"2021-03-12 18:54:00",92
102088,PMO06,STANDARD,"2021-03-12 18:56:00",92
102137,PMO06,STANDARD,"2021-03-12 18:57:00",92
102186,PMO06,STANDARD,"2021-03-12 18:59:00",92
102236,PMO06,STANDARD,"2021-03-12 19:01:00",93
102286,PMO06,STANDARD,"2021-03-12 19:03:00",81
102342,PMO06,STANDARD,"2021-03-12 19:05:00",93
102391,PMO06,STANDARD,"2021-03-12 19:07:00",93
102440,PMO06,STANDARD,"2021-03-12 19:09:00",93
102490,PMO06,STANDARD,"2021-03-12 19:11:00",93
102546,PMO06,STANDARD,"2021-03-12 19:13:00",94
102596,PMO06,STANDARD,"2021-03-12 19:15:00",94
102645,PMO06,STANDARD,"2021-03-12 19:17:00",94
102695,PMO06,STANDARD,"2021-03-12 19:19:00",81
102745,PMO06,STANDARD,"2021-03-12 19:21:00",94
102801,PMO06,STANDARD,"2021-03-12 19:23:00",94
102850,PMO06,STANDARD,"2021-03-12 19:25:00",93
102899,PMO06,STANDARD,"2021-03-12 19:27:00",93
102949,PMO06,STANDARD,"2021-03-12 19:29:00",93
103005,PMO06,STANDARD,"2021-03-12 19:31:00",93
103055,PMO06,STANDARD,"2021-03-12 19:33:00",93
103104,PMO06,STANDARD,"2021-03-12 19:35:00",81
103154,PMO06,STANDARD,"2021-03-12 19:37:00",93
103204,PMO06,STANDARD,"2021-03-12 19:40:00",93
103260,PMO06,STANDARD,"2021-03-12 19:42:00",94
103309,PMO06,STANDARD,"2021-03-12 19:44:00",94
103358,PMO06,STANDARD,"2021-03-12 19:46:00",94
103408,PMO06,STANDARD,"2021-03-12 19:48:00",94
103464,PMO06,STANDARD,"2021-03-12 19:50:00",94
103514,PMO06,STANDARD,"2021-03-12 19:52:00",82
103563,PMO06,STANDARD,"2021-03-12 19:54:00",94
103613,PMO06,STANDARD,"2021-03-12 19:56:00",94
103663,PMO06,STANDARD,"2021-03-12 19:57:00",94
103719,PMO06,STANDARD,"2021-03-12 19:59:00",94
103768,PMO06,STANDARD,"2021-03-12 20:01:00",94
103817,PMO06,STANDARD,"2021-03-12 20:03:00",94
103867,PMO06,STANDARD,"2021-03-12 20:05:00",94
103923,PMO06,STANDARD,"2021-03-12 20:07:00",94
103973,PMO06,STANDARD,"2021-03-12 20:09:00",94
104022,PMO06,STANDARD,"2021-03-12 20:11:00",93
104072,PMO06,STANDARD,"2021-03-12 20:13:00",94
104122,PMO06,STANDARD,"2021-03-12 20:15:00",94
104178,PMO06,STANDARD,"2021-03-12 20:17:00",94
104227,PMO06,STANDARD,"2021-03-12 20:19:00",94
104276,PMO06,STANDARD,"2021-03-12 20:21:00",94
104326,PMO06,STANDARD,"2021-03-12 20:23:00",94
104382,PMO06,STANDARD,"2021-03-12 20:25:00",94
104432,PMO06,STANDARD,"2021-03-12 20:27:00",94
104481,PMO06,STANDARD,"2021-03-12 20:29:00",95
