id,code_parking,type_compteur,horodatage,places_disponibles
102034,PMO08,DISABLED,"2021-03-12 18:54:00",10
102087,PMO08,DISABLED,"2021-03-12 18:55:00",10
102138,PMO08,DISABLED,"2021-03-12 18:57:00",10
102187,PMO08,DISABLED,"2021-03-12 18:59:00",10
102238,PMO08,DISABLED,"2021-03-12 19:02:00",10
102293,PMO08,DISABLED,"2021-03-12 19:04:00",10
102343,PMO08,DISABLED,"2021-03-12 19:06:00",10
102392,PMO08,DISABLED,"2021-03-12 19:08:00",10
102441,PMO08,DISABLED,"2021-03-12 19:10:00",10
102493,PMO08,DISABLED,"2021-03-12 19:11:00",10
102547,PMO08,DISABLED,"2021-03-12 19:13:00",10
102597,PMO08,DISABLED,"2021-03-12 19:16:00",10
102646,PMO08,DISABLED,"2021-03-12 19:18:00",10
102697,PMO08,DISABLED,"2021-03-12 19:20:00",10
102752,PMO08,DISABLED,"2021-03-12 19:22:00",10
102802,PMO08,DISABLED,"2021-03-12 19:24:00",10
102851,PMO08,DISABLED,"2021-03-12 19:26:00",10
102900,PMO08,DISABLED,"2021-03-12 19:28:00",10
102952,PMO08,DISABLED,"2021-03-12 19:29:00",10
103006,PMO08,DISABLED,"2021-03-12 19:31:00",10
103056,PMO08,DISABLED,"2021-03-12 19:33:00",10
103105,PMO08,DISABLED,"2021-03-12 19:36:00",10
103156,PMO08,DISABLED,"2021-03-12 19:38:00",10
103211,PMO08,DISABLED,"2021-03-12 19:40:00",10
103261,PMO08,DISABLED,"2021-03-12 19:42:00",10
103310,PMO08,DISABLED,"2021-03-12 19:44:00",10
103359,PMO08,DISABLED,"2021-03-12 19:46:00",10
103411,PMO08,DISABLED,"2021-03-12 19:48:00",10
103465,PMO08,DISABLED,"2021-03-12 19:50:00",10
103515,PMO08,DISABLED,"2021-03-12 19:52:00",10
103564,PMO08,DISABLED,"2021-03-12 19:54:00",10
103615,PMO08,DISABLED,"2021-03-12 19:56:00",10
103670,PMO08,DISABLED,"2021-03-12 19:58:00",10
103720,PMO08,DISABLED,"2021-03-12 20:00:00",10
103769,PMO08,DISABLED,"2021-03-12 20:01:00",10
103818,PMO08,DISABLED,"2021-03-12 20:03:00",10
103870,PMO08,DISABLED,"2021-03-12 20:05:00",10
103924,PMO08,DISABLED,"2021-03-12 20:07:00",10
103974,PMO08,DISABLED,"2021-03-12 20:10:00",10
104023,PMO08,DISABLED,"2021-03-12 20:12:00",10
104074,PMO08,DISABLED,"2021-03-12 20:14:00",10
104129,PMO08,DISABLED,"2021-03-12 20:16:00",10
104179,PMO08,DISABLED,"2021-03-12 20:18:00",10
104228,PMO08,DISABLED,"2021-03-12 20:20:00",10
104277,PMO08,DISABLED,"2021-03-12 20:21:00",10
104329,PMO08,DISABLED,"2021-03-12 20:23:00",10
104383,PMO08,DISABLED,"2021-03-12 20:26:00",10
104433,PMO08,DISABLED,"2021-03-12 20:28:00",10
104482,PMO08,DISABLED,"2021-03-12 20:30:00",10
104533,PMO08,DISABLED,"2021-03-12 20:32:00",10
104588,PMO08,DISABLED,"2021-03-12 20:34:00",10
104637,PMO08,DISABLED,"2021-03-12 20:35:00",10
104686,PMO08,DISABLED,"2021-03-12 20:37:00",10
104736,PMO08,DISABLED,"2021-03-12 20:40:00",10
104788,PMO08,DISABLED,"2021-03-12 20:42:00",10
104842,PMO08,DISABLED,"2021-03-12 20:44:00",10
104892,PMO08,DISABLED,"2021-03-12 20:46:00",10
104941,PMO08,DISABLED,"2021-03-12 20:48:00",10
104992,PMO08,DISABLED,"2021-03-12 20:50:00",10
105047,PMO08,DISABLED,"2021-03-12 20:51:00",10
105096,PMO08,DISABLED,"2021-03-12 20:53:00",10
105145,PMO08,DISABLED,"2021-03-12 20:55:00",10
105194,PMO08,DISABLED,"2021-03-12 20:57:00",10
105247,PMO08,DISABLED,"2021-03-12 21:00:00",10
105301,PMO08,DISABLED,"2021-03-12 21:02:00",10
105351,PMO08,DISABLED,"2021-03-12 21:04:00",10
105400,PMO08,DISABLED,"2021-03-12 21:06:00",10
105451,PMO08,DISABLED,"2021-03-12 21:08:00",10
105506,PMO08,DISABLED,"2021-03-12 21:10:00",11
105556,PMO08,DISABLED,"2021-03-12 21:12:00",11
105605,PMO08,DISABLED,"2021-03-12 21:14:00",11
105654,PMO08,DISABLED,"2021-03-12 21:16:00",11
105706,PMO08,DISABLED,"2021-03-12 21:18:00",11
105760,PMO08,DISABLED,"2021-03-12 21:20:00",11
105810,PMO08,DISABLED,"2021-03-12 21:22:00",11
105859,PMO08,DISABLED,"2021-03-12 21:24:00",11
105910,PMO08,DISABLED,"2021-03-12 21:25:00",11
105965,PMO08,DISABLED,"2021-03-12 21:27:00",11
106014,PMO08,DISABLED,"2021-03-12 21:29:00",11
106063,PMO08,DISABLED,"2021-03-12 21:31:00",11
106113,PMO08,DISABLED,"2021-03-12 21:34:00",11
106165,PMO08,DISABLED,"2021-03-12 21:36:00",11
106219,PMO08,DISABLED,"2021-03-12 21:38:00",11
106269,PMO08,DISABLED,"2021-03-12 21:40:00",11
106318,PMO08,DISABLED,"2021-03-12 21:42:00",11
106369,PMO08,DISABLED,"2021-03-12 21:44:00",11
106424,PMO08,DISABLED,"2021-03-12 21:45:00",11
106474,PMO08,DISABLED,"2021-03-12 21:47:00",11
106523,PMO08,DISABLED,"2021-03-12 21:50:00",11
106572,PMO08,DISABLED,"2021-03-12 21:52:00",11
106624,PMO08,DISABLED,"2021-03-12 21:54:00",11
106678,PMO08,DISABLED,"2021-03-12 21:56:00",11
106728,PMO08,DISABLED,"2021-03-12 21:58:00",11
106776,PMO08,DISABLED,"2021-03-12 21:59:00",11
106828,PMO08,DISABLED,"2021-03-12 22:01:00",11
106883,PMO08,DISABLED,"2021-03-12 22:03:00",11
106933,PMO08,DISABLED,"2021-03-12 22:06:00",11
106982,PMO08,DISABLED,"2021-03-12 22:08:00",11
107031,PMO08,DISABLED,"2021-03-12 22:10:00",11
107083,PMO08,DISABLED,"2021-03-12 22:12:00",11
107137,PMO08,DISABLED,"2021-03-12 22:14:00",11
107187,PMO08,DISABLED,"2021-03-12 22:15:00",11
107235,PMO08,DISABLED,"2021-03-12 22:17:00",11
107287,PMO08,DISABLED,"2021-03-12 22:19:00",11
107342,PMO08,DISABLED,"2021-03-12 22:21:00",11
107392,PMO08,DISABLED,"2021-03-12 22:24:00",11
107441,PMO08,DISABLED,"2021-03-12 22:26:00",11
107490,PMO08,DISABLED,"2021-03-12 22:28:00",11
107542,PMO08,DISABLED,"2021-03-12 22:30:00",11
107596,PMO08,DISABLED,"2021-03-12 22:32:00",11
107646,PMO08,DISABLED,"2021-03-12 22:34:00",11
107695,PMO08,DISABLED,"2021-03-12 22:36:00",11
107746,PMO08,DISABLED,"2021-03-12 22:38:00",11
107801,PMO08,DISABLED,"2021-03-12 22:40:00",11
107851,PMO08,DISABLED,"2021-03-12 22:42:00",11
107900,PMO08,DISABLED,"2021-03-12 22:44:00",11
107949,PMO08,DISABLED,"2021-03-12 22:46:00",11
108001,PMO08,DISABLED,"2021-03-12 22:48:00",11
108055,PMO08,DISABLED,"2021-03-12 22:49:00",11
108105,PMO08,DISABLED,"2021-03-12 22:51:00",11
108154,PMO08,DISABLED,"2021-03-12 22:53:00",11
108205,PMO08,DISABLED,"2021-03-12 22:56:00",11
108260,PMO08,DISABLED,"2021-03-12 22:58:00",11
108310,PMO08,DISABLED,"2021-03-12 23:00:00",11
108359,PMO08,DISABLED,"2021-03-12 23:02:00",11
108408,PMO08,DISABLED,"2021-03-12 23:04:00",11
108460,PMO08,DISABLED,"2021-03-12 23:06:00",11
108514,PMO08,DISABLED,"2021-03-12 23:08:00",11
108564,PMO08,DISABLED,"2021-03-12 23:10:00",11
108612,PMO08,DISABLED,"2021-03-12 23:11:00",11
108664,PMO08,DISABLED,"2021-03-12 23:14:00",11
108719,PMO08,DISABLED,"2021-03-12 23:16:00",11
108769,PMO08,DISABLED,"2021-03-12 23:18:00",11
108818,PMO08,DISABLED,"2021-03-12 23:20:00",11
108867,PMO08,DISABLED,"2021-03-12 23:22:00",11
108919,PMO08,DISABLED,"2021-03-12 23:23:00",11
108973,PMO08,DISABLED,"2021-03-12 23:25:00",11
109023,PMO08,DISABLED,"2021-03-12 23:27:00",11
109072,PMO08,DISABLED,"2021-03-12 23:30:00",11
109123,PMO08,DISABLED,"2021-03-12 23:32:00",11
109178,PMO08,DISABLED,"2021-03-12 23:34:00",11
109228,PMO08,DISABLED,"2021-03-12 23:36:00",11
109277,PMO08,DISABLED,"2021-03-12 23:38:00",11
109326,PMO08,DISABLED,"2021-03-12 23:39:00",11
109378,PMO08,DISABLED,"2021-03-12 23:41:00",11
109432,PMO08,DISABLED,"2021-03-12 23:43:00",11
109482,PMO08,DISABLED,"2021-03-12 23:46:00",11
109531,PMO08,DISABLED,"2021-03-12 23:48:00",11
109582,PMO08,DISABLED,"2021-03-12 23:50:00",11
109637,PMO08,DISABLED,"2021-03-12 23:52:00",11
109687,PMO08,DISABLED,"2021-03-12 23:54:00",11
109736,PMO08,DISABLED,"2021-03-12 23:55:00",11
109785,PMO08,DISABLED,"2021-03-12 23:57:00",11
109837,PMO08,DISABLED,"2021-03-13 00:00:00",11
109891,PMO08,DISABLED,"2021-03-13 00:02:00",11
109941,PMO08,DISABLED,"2021-03-13 00:04:00",11
109990,PMO08,DISABLED,"2021-03-13 00:06:00",11
110041,PMO08,DISABLED,"2021-03-13 00:08:00",11
110096,PMO08,DISABLED,"2021-03-13 00:10:00",11
110146,PMO08,DISABLED,"2021-03-13 00:12:00",11
110194,PMO08,DISABLED,"2021-03-13 00:13:00",11
