id,code_parking,type_compteur,horodatage,places_disponibles
102022,PMO87,STANDARD,"2021-03-12 18:54:00",133
102072,PMO87,STANDARD,"2021-03-12 18:55:00",133
102121,PMO87,STANDARD,"2021-03-12 18:57:00",133
102176,PMO87,STANDARD,"2021-03-12 18:59:00",133
102227,PMO87,STANDARD,"2021-03-12 19:01:00",133
102276,PMO87,STANDARD,"2021-03-12 19:03:00",133
102326,PMO87,STANDARD,"2021-03-12 19:05:00",133
102376,PMO87,STANDARD,"2021-03-12 19:06:00",134
102431,PMO87,STANDARD,"2021-03-12 19:08:00",134
102481,PMO87,STANDARD,"2021-03-12 19:10:00",134
102531,PMO87,STANDARD,"2021-03-12 19:12:00",134
102580,PMO87,STANDARD,"2021-03-12 19:14:00",134
102635,PMO87,STANDARD,"2021-03-12 19:18:00",134
102686,PMO87,STANDARD,"2021-03-12 19:19:00",134
102735,PMO87,STANDARD,"2021-03-12 19:21:00",134
102785,PMO87,STANDARD,"2021-03-12 19:23:00",134
102835,PMO87,STANDARD,"2021-03-12 19:25:00",134
102890,PMO87,STANDARD,"2021-03-12 19:27:00",134
102941,PMO87,STANDARD,"2021-03-12 19:29:00",133
102990,PMO87,STANDARD,"2021-03-12 19:31:00",133
103039,PMO87,STANDARD,"2021-03-12 19:32:00",133
103094,PMO87,STANDARD,"2021-03-12 19:34:00",133
103145,PMO87,STANDARD,"2021-03-12 19:36:00",133
103194,PMO87,STANDARD,"2021-03-12 19:38:00",133
103245,PMO87,STANDARD,"2021-03-12 19:42:00",133
103294,PMO87,STANDARD,"2021-03-12 19:43:00",134
103349,PMO87,STANDARD,"2021-03-12 19:45:00",135
103399,PMO87,STANDARD,"2021-03-12 19:47:00",135
103449,PMO87,STANDARD,"2021-03-12 19:49:00",134
103498,PMO87,STANDARD,"2021-03-12 19:51:00",134
103553,PMO87,STANDARD,"2021-03-12 19:53:00",136
103604,PMO87,STANDARD,"2021-03-12 19:55:00",136
103653,PMO87,STANDARD,"2021-03-12 19:56:00",136
103703,PMO87,STANDARD,"2021-03-12 19:58:00",136
103753,PMO87,STANDARD,"2021-03-12 20:00:00",136
103808,PMO87,STANDARD,"2021-03-12 20:02:00",136
103858,PMO87,STANDARD,"2021-03-12 20:04:00",136
103909,PMO87,STANDARD,"2021-03-12 20:08:00",137
103957,PMO87,STANDARD,"2021-03-12 20:09:00",137
104012,PMO87,STANDARD,"2021-03-12 20:11:00",137
104063,PMO87,STANDARD,"2021-03-12 20:13:00",137
104112,PMO87,STANDARD,"2021-03-12 20:15:00",137
104162,PMO87,STANDARD,"2021-03-12 20:17:00",137
104212,PMO87,STANDARD,"2021-03-12 20:19:00",137
104267,PMO87,STANDARD,"2021-03-12 20:20:00",137
104317,PMO87,STANDARD,"2021-03-12 20:22:00",137
104367,PMO87,STANDARD,"2021-03-12 20:24:00",137
104416,PMO87,STANDARD,"2021-03-12 20:26:00",137
104471,PMO87,STANDARD,"2021-03-12 20:28:00",137
104522,PMO87,STANDARD,"2021-03-12 20:32:00",137
104571,PMO87,STANDARD,"2021-03-12 20:33:00",137
104621,PMO87,STANDARD,"2021-03-12 20:35:00",137
104671,PMO87,STANDARD,"2021-03-12 20:37:00",137
104726,PMO87,STANDARD,"2021-03-12 20:39:00",137
104776,PMO87,STANDARD,"2021-03-12 20:41:00",137
104826,PMO87,STANDARD,"2021-03-12 20:43:00",137
104875,PMO87,STANDARD,"2021-03-12 20:45:00",137
104930,PMO87,STANDARD,"2021-03-12 20:46:00",137
104981,PMO87,STANDARD,"2021-03-12 20:48:00",137
105030,PMO87,STANDARD,"2021-03-12 20:50:00",137
105080,PMO87,STANDARD,"2021-03-12 20:52:00",137
105130,PMO87,STANDARD,"2021-03-12 20:56:00",137
105185,PMO87,STANDARD,"2021-03-12 20:57:00",137
105235,PMO87,STANDARD,"2021-03-12 20:59:00",137
105285,PMO87,STANDARD,"2021-03-12 21:01:00",137
105334,PMO87,STANDARD,"2021-03-12 21:03:00",137
105389,PMO87,STANDARD,"2021-03-12 21:05:00",137
105440,PMO87,STANDARD,"2021-03-12 21:07:00",137
105489,PMO87,STANDARD,"2021-03-12 21:09:00",137
105540,PMO87,STANDARD,"2021-03-12 21:10:00",137
105589,PMO87,STANDARD,"2021-03-12 21:12:00",136
105644,PMO87,STANDARD,"2021-03-12 21:14:00",136
105695,PMO87,STANDARD,"2021-03-12 21:16:00",137
105744,PMO87,STANDARD,"2021-03-12 21:18:00",136
105794,PMO87,STANDARD,"2021-03-12 21:22:00",136
105844,PMO87,STANDARD,"2021-03-12 21:23:00",136
105899,PMO87,STANDARD,"2021-03-12 21:25:00",136
105949,PMO87,STANDARD,"2021-03-12 21:27:00",136
105999,PMO87,STANDARD,"2021-03-12 21:29:00",136
106048,PMO87,STANDARD,"2021-03-12 21:31:00",136
106103,PMO87,STANDARD,"2021-03-12 21:33:00",136
106154,PMO87,STANDARD,"2021-03-12 21:35:00",136
106203,PMO87,STANDARD,"2021-03-12 21:36:00",136
106253,PMO87,STANDARD,"2021-03-12 21:38:00",136
