id,code_parking,type_compteur,horodatage,places_disponibles
102044,PMO23,STANDARD,"2021-03-12 18:54:00",72
102093,PMO23,STANDARD,"2021-03-12 18:56:00",72
102143,PMO23,STANDARD,"2021-03-12 18:58:00",72
102198,PMO23,STANDARD,"2021-03-12 19:00:00",72
102248,PMO23,STANDARD,"2021-03-12 19:02:00",72
102298,PMO23,STANDARD,"2021-03-12 19:04:00",72
102347,PMO23,STANDARD,"2021-03-12 19:06:00",74
102402,PMO23,STANDARD,"2021-03-12 19:08:00",75
102453,PMO23,STANDARD,"2021-03-12 19:10:00",75
102503,PMO23,STANDARD,"2021-03-12 19:12:00",75
102552,PMO23,STANDARD,"2021-03-12 19:14:00",75
102602,PMO23,STANDARD,"2021-03-12 19:16:00",75
102657,PMO23,STANDARD,"2021-03-12 19:18:00",75
102707,PMO23,STANDARD,"2021-03-12 19:20:00",75
102757,PMO23,STANDARD,"2021-03-12 19:22:00",75
102806,PMO23,STANDARD,"2021-03-12 19:24:00",76
102861,PMO23,STANDARD,"2021-03-12 19:26:00",76
102912,PMO23,STANDARD,"2021-03-12 19:28:00",76
102962,PMO23,STANDARD,"2021-03-12 19:30:00",77
103011,PMO23,STANDARD,"2021-03-12 19:32:00",77
103061,PMO23,STANDARD,"2021-03-12 19:34:00",77
103116,PMO23,STANDARD,"2021-03-12 19:36:00",78
103166,PMO23,STANDARD,"2021-03-12 19:38:00",78
103216,PMO23,STANDARD,"2021-03-12 19:40:00",78
103265,PMO23,STANDARD,"2021-03-12 19:42:00",78
103320,PMO23,STANDARD,"2021-03-12 19:44:00",79
103371,PMO23,STANDARD,"2021-03-12 19:46:00",80
103421,PMO23,STANDARD,"2021-03-12 19:48:00",80
103470,PMO23,STANDARD,"2021-03-12 19:50:00",80
103520,PMO23,STANDARD,"2021-03-12 19:52:00",80
103575,PMO23,STANDARD,"2021-03-12 19:54:00",79
103625,PMO23,STANDARD,"2021-03-12 19:56:00",79
103675,PMO23,STANDARD,"2021-03-12 19:58:00",79
103724,PMO23,STANDARD,"2021-03-12 20:00:00",79
103779,PMO23,STANDARD,"2021-03-12 20:02:00",79
103830,PMO23,STANDARD,"2021-03-12 20:04:00",79
103880,PMO23,STANDARD,"2021-03-12 20:06:00",79
103929,PMO23,STANDARD,"2021-03-12 20:08:00",79
103979,PMO23,STANDARD,"2021-03-12 20:10:00",79
104034,PMO23,STANDARD,"2021-03-12 20:12:00",79
104084,PMO23,STANDARD,"2021-03-12 20:14:00",79
104134,PMO23,STANDARD,"2021-03-12 20:16:00",79
104183,PMO23,STANDARD,"2021-03-12 20:18:00",79
104238,PMO23,STANDARD,"2021-03-12 20:20:00",79
104289,PMO23,STANDARD,"2021-03-12 20:22:00",78
104339,PMO23,STANDARD,"2021-03-12 20:24:00",78
104388,PMO23,STANDARD,"2021-03-12 20:26:00",78
104438,PMO23,STANDARD,"2021-03-12 20:28:00",78
104493,PMO23,STANDARD,"2021-03-12 20:30:00",78
104543,PMO23,STANDARD,"2021-03-12 20:32:00",78
104593,PMO23,STANDARD,"2021-03-12 20:34:00",77
104642,PMO23,STANDARD,"2021-03-12 20:36:00",77
104697,PMO23,STANDARD,"2021-03-12 20:38:00",79
104748,PMO23,STANDARD,"2021-03-12 20:40:00",79
104798,PMO23,STANDARD,"2021-03-12 20:42:00",79
104847,PMO23,STANDARD,"2021-03-12 20:44:00",79
104897,PMO23,STANDARD,"2021-03-12 20:46:00",79
104952,PMO23,STANDARD,"2021-03-12 20:48:00",80
105002,PMO23,STANDARD,"2021-03-12 20:50:00",79
105052,PMO23,STANDARD,"2021-03-12 20:52:00",79
105101,PMO23,STANDARD,"2021-03-12 20:54:00",79
105156,PMO23,STANDARD,"2021-03-12 20:56:00",80
105207,PMO23,STANDARD,"2021-03-12 20:58:00",80
105257,PMO23,STANDARD,"2021-03-12 21:00:00",79
105306,PMO23,STANDARD,"2021-03-12 21:02:00",79
105356,PMO23,STANDARD,"2021-03-12 21:04:00",79
105411,PMO23,STANDARD,"2021-03-12 21:06:00",79
105461,PMO23,STANDARD,"2021-03-12 21:08:00",79
105511,PMO23,STANDARD,"2021-03-12 21:10:00",80
105560,PMO23,STANDARD,"2021-03-12 21:12:00",80
105615,PMO23,STANDARD,"2021-03-12 21:14:00",80
105666,PMO23,STANDARD,"2021-03-12 21:16:00",80
105716,PMO23,STANDARD,"2021-03-12 21:18:00",80
105765,PMO23,STANDARD,"2021-03-12 21:20:00",80
105815,PMO23,STANDARD,"2021-03-12 21:22:00",80
105870,PMO23,STANDARD,"2021-03-12 21:24:00",80
105920,PMO23,STANDARD,"2021-03-12 21:26:00",80
105970,PMO23,STANDARD,"2021-03-12 21:28:00",80
106019,PMO23,STANDARD,"2021-03-12 21:30:00",80
106074,PMO23,STANDARD,"2021-03-12 21:32:00",80
106125,PMO23,STANDARD,"2021-03-12 21:34:00",80
106175,PMO23,STANDARD,"2021-03-12 21:36:00",80
106224,PMO23,STANDARD,"2021-03-12 21:38:00",80
106274,PMO23,STANDARD,"2021-03-12 21:40:00",80
106329,PMO23,STANDARD,"2021-03-12 21:42:00",80
106379,PMO23,STANDARD,"2021-03-12 21:44:00",80
106429,PMO23,STANDARD,"2021-03-12 21:46:00",80
106478,PMO23,STANDARD,"2021-03-12 21:48:00",80
106533,PMO23,STANDARD,"2021-03-12 21:50:00",80
106584,PMO23,STANDARD,"2021-03-12 21:52:00",82
106634,PMO23,STANDARD,"2021-03-12 21:54:00",82
106683,PMO23,STANDARD,"2021-03-12 21:56:00",82
106733,PMO23,STANDARD,"2021-03-12 21:58:00",82
106788,PMO23,STANDARD,"2021-03-12 22:00:00",82
106838,PMO23,STANDARD,"2021-03-12 22:02:00",82
106888,PMO23,STANDARD,"2021-03-12 22:04:00",82
106937,PMO23,STANDARD,"2021-03-12 22:06:00",82
106992,PMO23,STANDARD,"2021-03-12 22:08:00",82
107043,PMO23,STANDARD,"2021-03-12 22:10:00",82
107093,PMO23,STANDARD,"2021-03-12 22:12:00",82
107142,PMO23,STANDARD,"2021-03-12 22:14:00",82
107192,PMO23,STANDARD,"2021-03-12 22:16:00",82
107247,PMO23,STANDARD,"2021-03-12 22:18:00",81
107297,PMO23,STANDARD,"2021-03-12 22:20:00",81
107347,PMO23,STANDARD,"2021-03-12 22:22:00",81
107396,PMO23,STANDARD,"2021-03-12 22:24:00",81
107451,PMO23,STANDARD,"2021-03-12 22:26:00",81
107502,PMO23,STANDARD,"2021-03-12 22:28:00",81
107552,PMO23,STANDARD,"2021-03-12 22:30:00",81
