id,code_parking,type_compteur,horodatage,places_disponibles
102019,PMO11,DISABLED,"2021-03-12 18:53:00",12
102075,PMO11,DISABLED,"2021-03-12 18:55:00",12
102124,PMO11,DISABLED,"2021-03-12 18:57:00",12
102173,PMO11,DISABLED,"2021-03-12 18:59:00",12
102223,PMO11,DISABLED,"2021-03-12 19:01:00",12
102279,PMO11,DISABLED,"2021-03-12 19:03:00",12
102329,PMO11,DISABLED,"2021-03-12 19:05:00",11
102378,PMO11,DISABLED,"2021-03-12 19:07:00",11
102427,PMO11,DISABLED,"2021-03-12 19:09:00",11
102478,PMO11,DISABLED,"2021-03-12 19:11:00",11
102534,PMO11,DISABLED,"2021-03-12 19:13:00",11
102583,PMO11,DISABLED,"2021-03-12 19:15:00",11
102632,PMO11,DISABLED,"2021-03-12 19:17:00",11
102682,PMO11,DISABLED,"2021-03-12 19:19:00",11
102738,PMO11,DISABLED,"2021-03-12 19:21:00",11
102788,PMO11,DISABLED,"2021-03-12 19:24:00",11
102837,PMO11,DISABLED,"2021-03-12 19:25:00",10
102886,PMO11,DISABLED,"2021-03-12 19:27:00",10
102937,PMO11,DISABLED,"2021-03-12 19:29:00",10
102993,PMO11,DISABLED,"2021-03-12 19:32:00",10
103042,PMO11,DISABLED,"2021-03-12 19:34:00",10
103091,PMO11,DISABLED,"2021-03-12 19:36:00",10
103141,PMO11,DISABLED,"2021-03-12 19:38:00",10
103196,PMO11,DISABLED,"2021-03-12 19:39:00",10
103247,PMO11,DISABLED,"2021-03-12 19:42:00",10
103296,PMO11,DISABLED,"2021-03-12 19:43:00",10
103345,PMO11,DISABLED,"2021-03-12 19:45:00",10
103396,PMO11,DISABLED,"2021-03-12 19:47:00",10
103451,PMO11,DISABLED,"2021-03-12 19:49:00",10
103501,PMO11,DISABLED,"2021-03-12 19:51:00",10
103550,PMO11,DISABLED,"2021-03-12 19:53:00",10
103600,PMO11,DISABLED,"2021-03-12 19:55:00",10
103656,PMO11,DISABLED,"2021-03-12 19:57:00",10
103705,PMO11,DISABLED,"2021-03-12 19:59:00",10
103755,PMO11,DISABLED,"2021-03-12 20:01:00",10
103804,PMO11,DISABLED,"2021-03-12 20:03:00",10
103855,PMO11,DISABLED,"2021-03-12 20:05:00",10
103911,PMO11,DISABLED,"2021-03-12 20:07:00",10
103960,PMO11,DISABLED,"2021-03-12 20:09:00",10
104009,PMO11,DISABLED,"2021-03-12 20:11:00",10
104059,PMO11,DISABLED,"2021-03-12 20:13:00",10
104115,PMO11,DISABLED,"2021-03-12 20:15:00",10
104165,PMO11,DISABLED,"2021-03-12 20:17:00",10
104213,PMO11,DISABLED,"2021-03-12 20:19:00",10
104263,PMO11,DISABLED,"2021-03-12 20:21:00",10
104314,PMO11,DISABLED,"2021-03-12 20:23:00",10
104370,PMO11,DISABLED,"2021-03-12 20:25:00",10
104419,PMO11,DISABLED,"2021-03-12 20:27:00",10
104467,PMO11,DISABLED,"2021-03-12 20:29:00",10
104518,PMO11,DISABLED,"2021-03-12 20:31:00",10
104574,PMO11,DISABLED,"2021-03-12 20:34:00",10
104624,PMO11,DISABLED,"2021-03-12 20:36:00",10
104673,PMO11,DISABLED,"2021-03-12 20:38:00",11
104722,PMO11,DISABLED,"2021-03-12 20:40:00",11
104773,PMO11,DISABLED,"2021-03-12 20:42:00",11
104829,PMO11,DISABLED,"2021-03-12 20:44:00",11
104878,PMO11,DISABLED,"2021-03-12 20:46:00",11
104927,PMO11,DISABLED,"2021-03-12 20:47:00",11
104977,PMO11,DISABLED,"2021-03-12 20:49:00",11
105033,PMO11,DISABLED,"2021-03-12 20:51:00",11
105083,PMO11,DISABLED,"2021-03-12 20:53:00",11
105132,PMO11,DISABLED,"2021-03-12 20:55:00",11
105181,PMO11,DISABLED,"2021-03-12 20:57:00",11
105232,PMO11,DISABLED,"2021-03-12 20:59:00",11
105288,PMO11,DISABLED,"2021-03-12 21:01:00",11
105337,PMO11,DISABLED,"2021-03-12 21:03:00",11
105386,PMO11,DISABLED,"2021-03-12 21:05:00",11
105436,PMO11,DISABLED,"2021-03-12 21:07:00",11
105491,PMO11,DISABLED,"2021-03-12 21:09:00",11
