id,code_parking,type_compteur,horodatage,places_disponibles
102020,PMO73,STANDARD,"2021-03-12 18:54:00",11
102070,PMO73,STANDARD,"2021-03-12 18:55:00",11
102128,PMO73,STANDARD,"2021-03-12 18:57:00",11
102179,PMO73,STANDARD,"2021-03-12 18:59:00",11
102225,PMO73,STANDARD,"2021-03-12 19:01:00",11
102274,PMO73,STANDARD,"2021-03-12 19:03:00",11
102332,PMO73,STANDARD,"2021-03-12 19:05:00",11
102383,PMO73,STANDARD,"2021-03-12 19:07:00",11
102434,PMO73,STANDARD,"2021-03-12 19:09:00",11
102479,PMO73,STANDARD,"2021-03-12 19:11:00",11
102529,PMO73,STANDARD,"2021-03-12 19:13:00",11
102587,PMO73,STANDARD,"2021-03-12 19:15:00",11
102638,PMO73,STANDARD,"2021-03-12 19:17:00",11
102684,PMO73,STANDARD,"2021-03-12 19:19:00",11
102733,PMO73,STANDARD,"2021-03-12 19:21:00",11
102791,PMO73,STANDARD,"2021-03-12 19:24:00",12
102842,PMO73,STANDARD,"2021-03-12 19:25:00",12
102893,PMO73,STANDARD,"2021-03-12 19:28:00",12
102938,PMO73,STANDARD,"2021-03-12 19:29:00",12
102988,PMO73,STANDARD,"2021-03-12 19:32:00",12
103046,PMO73,STANDARD,"2021-03-12 19:33:00",12
103097,PMO73,STANDARD,"2021-03-12 19:35:00",12
103143,PMO73,STANDARD,"2021-03-12 19:37:00",12
103192,PMO73,STANDARD,"2021-03-12 19:39:00",12
103250,PMO73,STANDARD,"2021-03-12 19:41:00",12
103301,PMO73,STANDARD,"2021-03-12 19:43:00",12
103352,PMO73,STANDARD,"2021-03-12 19:45:00",12
103397,PMO73,STANDARD,"2021-03-12 19:47:00",12
103447,PMO73,STANDARD,"2021-03-12 19:49:00",12
103505,PMO73,STANDARD,"2021-03-12 19:51:00",12
103556,PMO73,STANDARD,"2021-03-12 19:53:00",12
103602,PMO73,STANDARD,"2021-03-12 19:55:00",12
103651,PMO73,STANDARD,"2021-03-12 19:57:00",12
103709,PMO73,STANDARD,"2021-03-12 19:59:00",12
103760,PMO73,STANDARD,"2021-03-12 20:02:00",12
103811,PMO73,STANDARD,"2021-03-12 20:03:00",12
103856,PMO73,STANDARD,"2021-03-12 20:06:00",12
103906,PMO73,STANDARD,"2021-03-12 20:07:00",12
103964,PMO73,STANDARD,"2021-03-12 20:10:00",12
104015,PMO73,STANDARD,"2021-03-12 20:11:00",12
104061,PMO73,STANDARD,"2021-03-12 20:13:00",12
104110,PMO73,STANDARD,"2021-03-12 20:15:00",12
104168,PMO73,STANDARD,"2021-03-12 20:17:00",12
104219,PMO73,STANDARD,"2021-03-12 20:19:00",12
104270,PMO73,STANDARD,"2021-03-12 20:21:00",12
104315,PMO73,STANDARD,"2021-03-12 20:23:00",12
104365,PMO73,STANDARD,"2021-03-12 20:25:00",12
104423,PMO73,STANDARD,"2021-03-12 20:27:00",12
104474,PMO73,STANDARD,"2021-03-12 20:29:00",12
104520,PMO73,STANDARD,"2021-03-12 20:31:00",12
104569,PMO73,STANDARD,"2021-03-12 20:33:00",12
104627,PMO73,STANDARD,"2021-03-12 20:35:00",12
104678,PMO73,STANDARD,"2021-03-12 20:37:00",12
104729,PMO73,STANDARD,"2021-03-12 20:40:00",12
104774,PMO73,STANDARD,"2021-03-12 20:41:00",12
104824,PMO73,STANDARD,"2021-03-12 20:44:00",12
104882,PMO73,STANDARD,"2021-03-12 20:45:00",12
104933,PMO73,STANDARD,"2021-03-12 20:48:00",12
104979,PMO73,STANDARD,"2021-03-12 20:49:00",12
105028,PMO73,STANDARD,"2021-03-12 20:51:00",12
105086,PMO73,STANDARD,"2021-03-12 20:53:00",12
105137,PMO73,STANDARD,"2021-03-12 20:55:00",12
105188,PMO73,STANDARD,"2021-03-12 20:57:00",12
105233,PMO73,STANDARD,"2021-03-12 20:59:00",12
105283,PMO73,STANDARD,"2021-03-12 21:01:00",12
105341,PMO73,STANDARD,"2021-03-12 21:03:00",12
105392,PMO73,STANDARD,"2021-03-12 21:05:00",12
105438,PMO73,STANDARD,"2021-03-12 21:07:00",12
105487,PMO73,STANDARD,"2021-03-12 21:09:00",12
105545,PMO73,STANDARD,"2021-03-12 21:11:00",12
105596,PMO73,STANDARD,"2021-03-12 21:13:00",12
105647,PMO73,STANDARD,"2021-03-12 21:15:00",12
105693,PMO73,STANDARD,"2021-03-12 21:18:00",12
105742,PMO73,STANDARD,"2021-03-12 21:19:00",12
105800,PMO73,STANDARD,"2021-03-12 21:22:00",12
105851,PMO73,STANDARD,"2021-03-12 21:23:00",12
105902,PMO73,STANDARD,"2021-03-12 21:26:00",12
105947,PMO73,STANDARD,"2021-03-12 21:27:00",12
105997,PMO73,STANDARD,"2021-03-12 21:29:00",12
106055,PMO73,STANDARD,"2021-03-12 21:31:00",12
106106,PMO73,STANDARD,"2021-03-12 21:33:00",12
106152,PMO73,STANDARD,"2021-03-12 21:35:00",12
106201,PMO73,STANDARD,"2021-03-12 21:37:00",12
106259,PMO73,STANDARD,"2021-03-12 21:39:00",12
106310,PMO73,STANDARD,"2021-03-12 21:41:00",12
106361,PMO73,STANDARD,"2021-03-12 21:43:00",12
106406,PMO73,STANDARD,"2021-03-12 21:45:00",12
106456,PMO73,STANDARD,"2021-03-12 21:47:00",12
106514,PMO73,STANDARD,"2021-03-12 21:49:00",12
106565,PMO73,STANDARD,"2021-03-12 21:51:00",12
106611,PMO73,STANDARD,"2021-03-12 21:53:00",12
106660,PMO73,STANDARD,"2021-03-12 21:56:00",12
106718,PMO73,STANDARD,"2021-03-12 21:57:00",12
106769,PMO73,STANDARD,"2021-03-12 22:00:00",12
106820,PMO73,STANDARD,"2021-03-12 22:01:00",12
106865,PMO73,STANDARD,"2021-03-12 22:04:00",12
106915,PMO73,STANDARD,"2021-03-12 22:05:00",12
106973,PMO73,STANDARD,"2021-03-12 22:07:00",12
107024,PMO73,STANDARD,"2021-03-12 22:09:00",12
107070,PMO73,STANDARD,"2021-03-12 22:11:00",12
107119,PMO73,STANDARD,"2021-03-12 22:13:00",12
107177,PMO73,STANDARD,"2021-03-12 22:15:00",12
107228,PMO73,STANDARD,"2021-03-12 22:17:00",12
107279,PMO73,STANDARD,"2021-03-12 22:19:00",12
107324,PMO73,STANDARD,"2021-03-12 22:21:00",12
107374,PMO73,STANDARD,"2021-03-12 22:23:00",12
107432,PMO73,STANDARD,"2021-03-12 22:25:00",12
