id,code_parking,type_compteur,horodatage,places_disponibles
102051,PMO30,STANDARD,"2021-03-12 18:54:00",155
102102,PMO30,STANDARD,"2021-03-12 18:56:00",156
102153,PMO30,STANDARD,"2021-03-12 18:58:00",156
102204,PMO30,STANDARD,"2021-03-12 19:00:00",155
102255,PMO30,STANDARD,"2021-03-12 19:02:00",156
102306,PMO30,STANDARD,"2021-03-12 19:04:00",157
102353,PMO30,STANDARD,"2021-03-12 19:06:00",156
102408,PMO30,STANDARD,"2021-03-12 19:08:00",156
102459,PMO30,STANDARD,"2021-03-12 19:10:00",156
102510,PMO30,STANDARD,"2021-03-12 19:12:00",156
102561,PMO30,STANDARD,"2021-03-12 19:14:00",158
102612,PMO30,STANDARD,"2021-03-12 19:16:00",158
102663,PMO30,STANDARD,"2021-03-12 19:18:00",158
102714,PMO30,STANDARD,"2021-03-12 19:20:00",159
102765,PMO30,STANDARD,"2021-03-12 19:22:00",159
102812,PMO30,STANDARD,"2021-03-12 19:24:00",160
102867,PMO30,STANDARD,"2021-03-12 19:26:00",161
102918,PMO30,STANDARD,"2021-03-12 19:28:00",161
102969,PMO30,STANDARD,"2021-03-12 19:30:00",163
103020,PMO30,STANDARD,"2021-03-12 19:32:00",164
103071,PMO30,STANDARD,"2021-03-12 19:34:00",165
103122,PMO30,STANDARD,"2021-03-12 19:36:00",165
103173,PMO30,STANDARD,"2021-03-12 19:38:00",165
103224,PMO30,STANDARD,"2021-03-12 19:40:00",166
103275,PMO30,STANDARD,"2021-03-12 19:42:00",166
103326,PMO30,STANDARD,"2021-03-12 19:44:00",166
103377,PMO30,STANDARD,"2021-03-12 19:46:00",166
103428,PMO30,STANDARD,"2021-03-12 19:48:00",167
103479,PMO30,STANDARD,"2021-03-12 19:50:00",167
103530,PMO30,STANDARD,"2021-03-12 19:52:00",167
103581,PMO30,STANDARD,"2021-03-12 19:54:00",167
103632,PMO30,STANDARD,"2021-03-12 19:56:00",167
103683,PMO30,STANDARD,"2021-03-12 19:58:00",167
103730,PMO30,STANDARD,"2021-03-12 20:00:00",167
103785,PMO30,STANDARD,"2021-03-12 20:02:00",168
103836,PMO30,STANDARD,"2021-03-12 20:04:00",168
103887,PMO30,STANDARD,"2021-03-12 20:06:00",168
103938,PMO30,STANDARD,"2021-03-12 20:08:00",169
103989,PMO30,STANDARD,"2021-03-12 20:10:00",168
104040,PMO30,STANDARD,"2021-03-12 20:12:00",168
104091,PMO30,STANDARD,"2021-03-12 20:14:00",168
104142,PMO30,STANDARD,"2021-03-12 20:16:00",168
104189,PMO30,STANDARD,"2021-03-12 20:18:00",168
104244,PMO30,STANDARD,"2021-03-12 20:20:00",168
104295,PMO30,STANDARD,"2021-03-12 20:22:00",168
104346,PMO30,STANDARD,"2021-03-12 20:24:00",168
104397,PMO30,STANDARD,"2021-03-12 20:26:00",168
104448,PMO30,STANDARD,"2021-03-12 20:28:00",169
104499,PMO30,STANDARD,"2021-03-12 20:30:00",169
104550,PMO30,STANDARD,"2021-03-12 20:32:00",169
104601,PMO30,STANDARD,"2021-03-12 20:34:00",169
104648,PMO30,STANDARD,"2021-03-12 20:36:00",170
104703,PMO30,STANDARD,"2021-03-12 20:38:00",170
104754,PMO30,STANDARD,"2021-03-12 20:40:00",171
104805,PMO30,STANDARD,"2021-03-12 20:42:00",171
104856,PMO30,STANDARD,"2021-03-12 20:44:00",172
104907,PMO30,STANDARD,"2021-03-12 20:46:00",172
104958,PMO30,STANDARD,"2021-03-12 20:48:00",173
105009,PMO30,STANDARD,"2021-03-12 20:50:00",173
105060,PMO30,STANDARD,"2021-03-12 20:52:00",173
105107,PMO30,STANDARD,"2021-03-12 20:54:00",174
105162,PMO30,STANDARD,"2021-03-12 20:56:00",175
