id,code_parking,type_compteur,horodatage,places_disponibles
102021,PMO26,DISABLED,"2021-03-12 18:54:00",15
102071,PMO26,DISABLED,"2021-03-12 18:56:00",15
102127,PMO26,DISABLED,"2021-03-12 18:58:00",15
102178,PMO26,DISABLED,"2021-03-12 18:59:00",15
102226,PMO26,DISABLED,"2021-03-12 19:01:00",15
102275,PMO26,DISABLED,"2021-03-12 19:03:00",15
102325,PMO26,DISABLED,"2021-03-12 19:05:00",15
102382,PMO26,DISABLED,"2021-03-12 19:07:00",15
102433,PMO26,DISABLED,"2021-03-12 19:09:00",15
102480,PMO26,DISABLED,"2021-03-12 19:11:00",15
102530,PMO26,DISABLED,"2021-03-12 19:13:00",15
102586,PMO26,DISABLED,"2021-03-12 19:15:00",15
102637,PMO26,DISABLED,"2021-03-12 19:17:00",15
102685,PMO26,DISABLED,"2021-03-12 19:19:00",15
102734,PMO26,DISABLED,"2021-03-12 19:22:00",15
102784,PMO26,DISABLED,"2021-03-12 19:23:00",15
102841,PMO26,DISABLED,"2021-03-12 19:25:00",15
102892,PMO26,DISABLED,"2021-03-12 19:28:00",15
102939,PMO26,DISABLED,"2021-03-12 19:30:00",15
102989,PMO26,DISABLED,"2021-03-12 19:32:00",15
103045,PMO26,DISABLED,"2021-03-12 19:34:00",15
103096,PMO26,DISABLED,"2021-03-12 19:36:00",15
103144,PMO26,DISABLED,"2021-03-12 19:37:00",15
103193,PMO26,DISABLED,"2021-03-12 19:40:00",15
103243,PMO26,DISABLED,"2021-03-12 19:42:00",15
103300,PMO26,DISABLED,"2021-03-12 19:44:00",15
103351,PMO26,DISABLED,"2021-03-12 19:46:00",15
103398,PMO26,DISABLED,"2021-03-12 19:48:00",15
103448,PMO26,DISABLED,"2021-03-12 19:50:00",15
103504,PMO26,DISABLED,"2021-03-12 19:52:00",15
103555,PMO26,DISABLED,"2021-03-12 19:54:00",15
103603,PMO26,DISABLED,"2021-03-12 19:56:00",15
103652,PMO26,DISABLED,"2021-03-12 19:58:00",15
103702,PMO26,DISABLED,"2021-03-12 20:00:00",15
103759,PMO26,DISABLED,"2021-03-12 20:02:00",15
103810,PMO26,DISABLED,"2021-03-12 20:04:00",15
103857,PMO26,DISABLED,"2021-03-12 20:06:00",15
103907,PMO26,DISABLED,"2021-03-12 20:07:00",15
103963,PMO26,DISABLED,"2021-03-12 20:09:00",15
104014,PMO26,DISABLED,"2021-03-12 20:11:00",15
104062,PMO26,DISABLED,"2021-03-12 20:13:00",15
104111,PMO26,DISABLED,"2021-03-12 20:15:00",15
104161,PMO26,DISABLED,"2021-03-12 20:18:00",15
104218,PMO26,DISABLED,"2021-03-12 20:20:00",15
104269,PMO26,DISABLED,"2021-03-12 20:22:00",15
104316,PMO26,DISABLED,"2021-03-12 20:24:00",15
104366,PMO26,DISABLED,"2021-03-12 20:26:00",15
104422,PMO26,DISABLED,"2021-03-12 20:28:00",15
104473,PMO26,DISABLED,"2021-03-12 20:30:00",15
104521,PMO26,DISABLED,"2021-03-12 20:32:00",15
104570,PMO26,DISABLED,"2021-03-12 20:34:00",15
104620,PMO26,DISABLED,"2021-03-12 20:36:00",15
104677,PMO26,DISABLED,"2021-03-12 20:37:00",15
104728,PMO26,DISABLED,"2021-03-12 20:39:00",15
104775,PMO26,DISABLED,"2021-03-12 20:41:00",15
104825,PMO26,DISABLED,"2021-03-12 20:43:00",15
104881,PMO26,DISABLED,"2021-03-12 20:45:00",15
104932,PMO26,DISABLED,"2021-03-12 20:48:00",15
104980,PMO26,DISABLED,"2021-03-12 20:50:00",15
