id,code_parking,type_compteur,horodatage,places_disponibles
102035,PMO26,STANDARD,"2021-03-12 18:54:00",687
102084,PMO26,STANDARD,"2021-03-12 18:56:00",686
102134,PMO26,STANDARD,"2021-03-12 18:58:00",688
102183,PMO26,STANDARD,"2021-03-12 18:59:00",689
102239,PMO26,STANDARD,"2021-03-12 19:01:00",690
102289,PMO26,STANDARD,"2021-03-12 19:03:00",688
102338,PMO26,STANDARD,"2021-03-12 19:05:00",685
102388,PMO26,STANDARD,"2021-03-12 19:07:00",685
102443,PMO26,STANDARD,"2021-03-12 19:09:00",685
102494,PMO26,STANDARD,"2021-03-12 19:11:00",693
102543,PMO26,STANDARD,"2021-03-12 19:13:00",703
102593,PMO26,STANDARD,"2021-03-12 19:15:00",711
102642,PMO26,STANDARD,"2021-03-12 19:17:00",711
102698,PMO26,STANDARD,"2021-03-12 19:19:00",713
102748,PMO26,STANDARD,"2021-03-12 19:22:00",713
102797,PMO26,STANDARD,"2021-03-12 19:23:00",713
102847,PMO26,STANDARD,"2021-03-12 19:25:00",713
102902,PMO26,STANDARD,"2021-03-12 19:28:00",726
102953,PMO26,STANDARD,"2021-03-12 19:30:00",729
103002,PMO26,STANDARD,"2021-03-12 19:32:00",731
103052,PMO26,STANDARD,"2021-03-12 19:34:00",729
103101,PMO26,STANDARD,"2021-03-12 19:36:00",729
103157,PMO26,STANDARD,"2021-03-12 19:37:00",730
103207,PMO26,STANDARD,"2021-03-12 19:40:00",726
103256,PMO26,STANDARD,"2021-03-12 19:42:00",725
103306,PMO26,STANDARD,"2021-03-12 19:44:00",725
103361,PMO26,STANDARD,"2021-03-12 19:46:00",724
103412,PMO26,STANDARD,"2021-03-12 19:48:00",719
103461,PMO26,STANDARD,"2021-03-12 19:50:00",719
103511,PMO26,STANDARD,"2021-03-12 19:52:00",719
103560,PMO26,STANDARD,"2021-03-12 19:54:00",720
103616,PMO26,STANDARD,"2021-03-12 19:56:00",721
103666,PMO26,STANDARD,"2021-03-12 19:58:00",721
103715,PMO26,STANDARD,"2021-03-12 20:00:00",725
103765,PMO26,STANDARD,"2021-03-12 20:02:00",726
103820,PMO26,STANDARD,"2021-03-12 20:04:00",726
103871,PMO26,STANDARD,"2021-03-12 20:06:00",728
103920,PMO26,STANDARD,"2021-03-12 20:07:00",728
103970,PMO26,STANDARD,"2021-03-12 20:09:00",730
104019,PMO26,STANDARD,"2021-03-12 20:11:00",731
104075,PMO26,STANDARD,"2021-03-12 20:13:00",737
104125,PMO26,STANDARD,"2021-03-12 20:15:00",745
104174,PMO26,STANDARD,"2021-03-12 20:18:00",750
104224,PMO26,STANDARD,"2021-03-12 20:20:00",754
104279,PMO26,STANDARD,"2021-03-12 20:22:00",754
104330,PMO26,STANDARD,"2021-03-12 20:24:00",756
104379,PMO26,STANDARD,"2021-03-12 20:26:00",754
104429,PMO26,STANDARD,"2021-03-12 20:28:00",756
104478,PMO26,STANDARD,"2021-03-12 20:30:00",759
104534,PMO26,STANDARD,"2021-03-12 20:32:00",763
104584,PMO26,STANDARD,"2021-03-12 20:34:00",768
104633,PMO26,STANDARD,"2021-03-12 20:36:00",765
104683,PMO26,STANDARD,"2021-03-12 20:37:00",765
104738,PMO26,STANDARD,"2021-03-12 20:39:00",763
104789,PMO26,STANDARD,"2021-03-12 20:41:00",762
104838,PMO26,STANDARD,"2021-03-12 20:43:00",760
104888,PMO26,STANDARD,"2021-03-12 20:45:00",763
104937,PMO26,STANDARD,"2021-03-12 20:48:00",773
104993,PMO26,STANDARD,"2021-03-12 20:50:00",772
105043,PMO26,STANDARD,"2021-03-12 20:52:00",773
105092,PMO26,STANDARD,"2021-03-12 20:54:00",774
105142,PMO26,STANDARD,"2021-03-12 20:56:00",776
105197,PMO26,STANDARD,"2021-03-12 20:58:00",774
105248,PMO26,STANDARD,"2021-03-12 21:00:00",778
105297,PMO26,STANDARD,"2021-03-12 21:02:00",776
105347,PMO26,STANDARD,"2021-03-12 21:04:00",776
105396,PMO26,STANDARD,"2021-03-12 21:06:00",777
