id,code_parking,type_compteur,horodatage,places_disponibles
102049,PMO68,STANDARD,"2021-03-12 18:54:00",245
102100,PMO68,STANDARD,"2021-03-12 18:56:00",246
102149,PMO68,STANDARD,"2021-03-12 18:58:00",246
102202,PMO68,STANDARD,"2021-03-12 19:00:00",245
102253,PMO68,STANDARD,"2021-03-12 19:02:00",245
102304,PMO68,STANDARD,"2021-03-12 19:04:00",245
102355,PMO68,STANDARD,"2021-03-12 19:06:00",245
102403,PMO68,STANDARD,"2021-03-12 19:08:00",247
102457,PMO68,STANDARD,"2021-03-12 19:10:00",247
102508,PMO68,STANDARD,"2021-03-12 19:12:00",248
102559,PMO68,STANDARD,"2021-03-12 19:14:00",249
102608,PMO68,STANDARD,"2021-03-12 19:16:00",249
102661,PMO68,STANDARD,"2021-03-12 19:18:00",250
102712,PMO68,STANDARD,"2021-03-12 19:20:00",250
102763,PMO68,STANDARD,"2021-03-12 19:22:00",249
102814,PMO68,STANDARD,"2021-03-12 19:24:00",250
102862,PMO68,STANDARD,"2021-03-12 19:26:00",251
102916,PMO68,STANDARD,"2021-03-12 19:28:00",251
102967,PMO68,STANDARD,"2021-03-12 19:30:00",251
103018,PMO68,STANDARD,"2021-03-12 19:32:00",251
103067,PMO68,STANDARD,"2021-03-12 19:34:00",251
103120,PMO68,STANDARD,"2021-03-12 19:36:00",252
103171,PMO68,STANDARD,"2021-03-12 19:38:00",251
103222,PMO68,STANDARD,"2021-03-12 19:40:00",251
103273,PMO68,STANDARD,"2021-03-12 19:42:00",251
103321,PMO68,STANDARD,"2021-03-12 19:44:00",251
103375,PMO68,STANDARD,"2021-03-12 19:46:00",251
103426,PMO68,STANDARD,"2021-03-12 19:48:00",251
103477,PMO68,STANDARD,"2021-03-12 19:50:00",251
103526,PMO68,STANDARD,"2021-03-12 19:52:00",251
103579,PMO68,STANDARD,"2021-03-12 19:54:00",249
103630,PMO68,STANDARD,"2021-03-12 19:56:00",249
103681,PMO68,STANDARD,"2021-03-12 19:58:00",250
103732,PMO68,STANDARD,"2021-03-12 20:00:00",249
103780,PMO68,STANDARD,"2021-03-12 20:02:00",250
103834,PMO68,STANDARD,"2021-03-12 20:04:00",251
103885,PMO68,STANDARD,"2021-03-12 20:06:00",251
103936,PMO68,STANDARD,"2021-03-12 20:08:00",251
103985,PMO68,STANDARD,"2021-03-12 20:10:00",251
104038,PMO68,STANDARD,"2021-03-12 20:12:00",250
104089,PMO68,STANDARD,"2021-03-12 20:14:00",251
104140,PMO68,STANDARD,"2021-03-12 20:16:00",252
104191,PMO68,STANDARD,"2021-03-12 20:18:00",253
