id,code_parking,type_compteur,horodatage,places_disponibles
102026,PMO84,STANDARD,"2021-03-12 18:54:00",65
102078,PMO84,STANDARD,"2021-03-12 18:55:00",65
102129,PMO84,STANDARD,"2021-03-12 18:57:00",65
102180,PMO84,STANDARD,"2021-03-12 18:59:00",65
102231,PMO84,STANDARD,"2021-03-12 19:01:00",65
102281,PMO84,STANDARD,"2021-03-12 19:03:00",65
102333,PMO84,STANDARD,"2021-03-12 19:05:00",65
102384,PMO84,STANDARD,"2021-03-12 19:07:00",65
102435,PMO84,STANDARD,"2021-03-12 19:09:00",65
102485,PMO84,STANDARD,"2021-03-12 19:11:00",65
102537,PMO84,STANDARD,"2021-03-12 19:13:00",65
102588,PMO84,STANDARD,"2021-03-12 19:15:00",65
102639,PMO84,STANDARD,"2021-03-12 19:17:00",65
102690,PMO84,STANDARD,"2021-03-12 19:20:00",65
102740,PMO84,STANDARD,"2021-03-12 19:21:00",65
102792,PMO84,STANDARD,"2021-03-12 19:24:00",65
102843,PMO84,STANDARD,"2021-03-12 19:25:00",65
102894,PMO84,STANDARD,"2021-03-12 19:28:00",65
102944,PMO84,STANDARD,"2021-03-12 19:29:00",65
102996,PMO84,STANDARD,"2021-03-12 19:32:00",65
103047,PMO84,STANDARD,"2021-03-12 19:33:00",65
103098,PMO84,STANDARD,"2021-03-12 19:35:00",65
103149,PMO84,STANDARD,"2021-03-12 19:37:00",65
103199,PMO84,STANDARD,"2021-03-12 19:39:00",65
103251,PMO84,STANDARD,"2021-03-12 19:41:00",65
103302,PMO84,STANDARD,"2021-03-12 19:43:00",65
103353,PMO84,STANDARD,"2021-03-12 19:45:00",65
103403,PMO84,STANDARD,"2021-03-12 19:47:00",65
103455,PMO84,STANDARD,"2021-03-12 19:49:00",65
103506,PMO84,STANDARD,"2021-03-12 19:51:00",65
103557,PMO84,STANDARD,"2021-03-12 19:53:00",65
103608,PMO84,STANDARD,"2021-03-12 19:55:00",65
103658,PMO84,STANDARD,"2021-03-12 19:58:00",65
103710,PMO84,STANDARD,"2021-03-12 19:59:00",65
103761,PMO84,STANDARD,"2021-03-12 20:02:00",65
103812,PMO84,STANDARD,"2021-03-12 20:03:00",65
103862,PMO84,STANDARD,"2021-03-12 20:06:00",65
103914,PMO84,STANDARD,"2021-03-12 20:07:00",65
103965,PMO84,STANDARD,"2021-03-12 20:10:00",65
104016,PMO84,STANDARD,"2021-03-12 20:11:00",65
104067,PMO84,STANDARD,"2021-03-12 20:13:00",65
104117,PMO84,STANDARD,"2021-03-12 20:15:00",65
104169,PMO84,STANDARD,"2021-03-12 20:17:00",65
104220,PMO84,STANDARD,"2021-03-12 20:19:00",65
104271,PMO84,STANDARD,"2021-03-12 20:21:00",65
104321,PMO84,STANDARD,"2021-03-12 20:23:00",65
104373,PMO84,STANDARD,"2021-03-12 20:25:00",65
104424,PMO84,STANDARD,"2021-03-12 20:27:00",65
104475,PMO84,STANDARD,"2021-03-12 20:29:00",65
104526,PMO84,STANDARD,"2021-03-12 20:32:00",65
104576,PMO84,STANDARD,"2021-03-12 20:33:00",65
104628,PMO84,STANDARD,"2021-03-12 20:36:00",65
104679,PMO84,STANDARD,"2021-03-12 20:37:00",65
104730,PMO84,STANDARD,"2021-03-12 20:40:00",65
104780,PMO84,STANDARD,"2021-03-12 20:41:00",65
104832,PMO84,STANDARD,"2021-03-12 20:44:00",65
104883,PMO84,STANDARD,"2021-03-12 20:45:00",65
104934,PMO84,STANDARD,"2021-03-12 20:48:00",65
104985,PMO84,STANDARD,"2021-03-12 20:49:00",65
105035,PMO84,STANDARD,"2021-03-12 20:51:00",65
105087,PMO84,STANDARD,"2021-03-12 20:53:00",65
105138,PMO84,STANDARD,"2021-03-12 20:55:00",65
105189,PMO84,STANDARD,"2021-03-12 20:57:00",65
105239,PMO84,STANDARD,"2021-03-12 20:59:00",65
105291,PMO84,STANDARD,"2021-03-12 21:01:00",65
105342,PMO84,STANDARD,"2021-03-12 21:03:00",65
105393,PMO84,STANDARD,"2021-03-12 21:05:00",65
105444,PMO84,STANDARD,"2021-03-12 21:07:00",65
105494,PMO84,STANDARD,"2021-03-12 21:09:00",65
105546,PMO84,STANDARD,"2021-03-12 21:11:00",65
105597,PMO84,STANDARD,"2021-03-12 21:14:00",65
105648,PMO84,STANDARD,"2021-03-12 21:15:00",65
105699,PMO84,STANDARD,"2021-03-12 21:18:00",65
105749,PMO84,STANDARD,"2021-03-12 21:19:00",65
105801,PMO84,STANDARD,"2021-03-12 21:22:00",65
105852,PMO84,STANDARD,"2021-03-12 21:23:00",65
105903,PMO84,STANDARD,"2021-03-12 21:26:00",65
105953,PMO84,STANDARD,"2021-03-12 21:27:00",65
106005,PMO84,STANDARD,"2021-03-12 21:29:00",64
106056,PMO84,STANDARD,"2021-03-12 21:31:00",64
106107,PMO84,STANDARD,"2021-03-12 21:33:00",64
106158,PMO84,STANDARD,"2021-03-12 21:35:00",64
106208,PMO84,STANDARD,"2021-03-12 21:37:00",64
106260,PMO84,STANDARD,"2021-03-12 21:39:00",64
106311,PMO84,STANDARD,"2021-03-12 21:41:00",64
106362,PMO84,STANDARD,"2021-03-12 21:43:00",64
106412,PMO84,STANDARD,"2021-03-12 21:45:00",64
106464,PMO84,STANDARD,"2021-03-12 21:47:00",64
106515,PMO84,STANDARD,"2021-03-12 21:49:00",64
106566,PMO84,STANDARD,"2021-03-12 21:52:00",64
106617,PMO84,STANDARD,"2021-03-12 21:53:00",64
106667,PMO84,STANDARD,"2021-03-12 21:56:00",64
106719,PMO84,STANDARD,"2021-03-12 21:57:00",64
106770,PMO84,STANDARD,"2021-03-12 22:00:00",64
106821,PMO84,STANDARD,"2021-03-12 22:01:00",64
106871,PMO84,STANDARD,"2021-03-12 22:04:00",64
106923,PMO84,STANDARD,"2021-03-12 22:05:00",64
106974,PMO84,STANDARD,"2021-03-12 22:07:00",64
107025,PMO84,STANDARD,"2021-03-12 22:09:00",64
107076,PMO84,STANDARD,"2021-03-12 22:11:00",64
107126,PMO84,STANDARD,"2021-03-12 22:13:00",64
107178,PMO84,STANDARD,"2021-03-12 22:15:00",64
107229,PMO84,STANDARD,"2021-03-12 22:17:00",64
107280,PMO84,STANDARD,"2021-03-12 22:19:00",64
107330,PMO84,STANDARD,"2021-03-12 22:21:00",64
107382,PMO84,STANDARD,"2021-03-12 22:23:00",64
107433,PMO84,STANDARD,"2021-03-12 22:25:00",64
107484,PMO84,STANDARD,"2021-03-12 22:27:00",64
107535,PMO84,STANDARD,"2021-03-12 22:30:00",64
107585,PMO84,STANDARD,"2021-03-12 22:31:00",64
107637,PMO84,STANDARD,"2021-03-12 22:34:00",64
107688,PMO84,STANDARD,"2021-03-12 22:35:00",64
107739,PMO84,STANDARD,"2021-03-12 22:38:00",64
107789,PMO84,STANDARD,"2021-03-12 22:39:00",64
107841,PMO84,STANDARD,"2021-03-12 22:42:00",64
107892,PMO84,STANDARD,"2021-03-12 22:43:00",64
107943,PMO84,STANDARD,"2021-03-12 22:45:00",64
107994,PMO84,STANDARD,"2021-03-12 22:47:00",64
108044,PMO84,STANDARD,"2021-03-12 22:49:00",64
108096,PMO84,STANDARD,"2021-03-12 22:51:00",64
108147,PMO84,STANDARD,"2021-03-12 22:53:00",64
108198,PMO84,STANDARD,"2021-03-12 22:55:00",64
108248,PMO84,STANDARD,"2021-03-12 22:57:00",64
108300,PMO84,STANDARD,"2021-03-12 22:59:00",64
108351,PMO84,STANDARD,"2021-03-12 23:01:00",64
108402,PMO84,STANDARD,"2021-03-12 23:03:00",64
108453,PMO84,STANDARD,"2021-03-12 23:05:00",64
108503,PMO84,STANDARD,"2021-03-12 23:08:00",64
108555,PMO84,STANDARD,"2021-03-12 23:09:00",64
108606,PMO84,STANDARD,"2021-03-12 23:12:00",64
108657,PMO84,STANDARD,"2021-03-12 23:13:00",64
108707,PMO84,STANDARD,"2021-03-12 23:16:00",64
108759,PMO84,STANDARD,"2021-03-12 23:17:00",64
108810,PMO84,STANDARD,"2021-03-12 23:20:00",64
108861,PMO84,STANDARD,"2021-03-12 23:21:00",64
108912,PMO84,STANDARD,"2021-03-12 23:23:00",64
108962,PMO84,STANDARD,"2021-03-12 23:25:00",64
109014,PMO84,STANDARD,"2021-03-12 23:27:00",64
109065,PMO84,STANDARD,"2021-03-12 23:29:00",64
109116,PMO84,STANDARD,"2021-03-12 23:31:00",64
109166,PMO84,STANDARD,"2021-03-12 23:33:00",64
109218,PMO84,STANDARD,"2021-03-12 23:35:00",64
109269,PMO84,STANDARD,"2021-03-12 23:37:00",64
109320,PMO84,STANDARD,"2021-03-12 23:39:00",64
109371,PMO84,STANDARD,"2021-03-12 23:41:00",64
109421,PMO84,STANDARD,"2021-03-12 23:43:00",64
109473,PMO84,STANDARD,"2021-03-12 23:46:00",64
109524,PMO84,STANDARD,"2021-03-12 23:47:00",64
109575,PMO84,STANDARD,"2021-03-12 23:50:00",64
109625,PMO84,STANDARD,"2021-03-12 23:51:00",64
109677,PMO84,STANDARD,"2021-03-12 23:54:00",64
109728,PMO84,STANDARD,"2021-03-12 23:55:00",64
109779,PMO84,STANDARD,"2021-03-12 23:58:00",64
109830,PMO84,STANDARD,"2021-03-12 23:59:00",64
109880,PMO84,STANDARD,"2021-03-13 00:01:00",64
109932,PMO84,STANDARD,"2021-03-13 00:03:00",64
109983,PMO84,STANDARD,"2021-03-13 00:05:00",64
110034,PMO84,STANDARD,"2021-03-13 00:07:00",64
110084,PMO84,STANDARD,"2021-03-13 00:09:00",64
110136,PMO84,STANDARD,"2021-03-13 00:11:00",64
