id,code_parking,type_compteur,horodatage,places_disponibles
102011,PMU84,STANDARD,"2021-03-12 18:54:00",62
102062,PMU84,STANDARD,"2021-03-12 18:55:00",62
102113,PMU84,STANDARD,"2021-03-12 18:57:00",61
102159,PMU84,STANDARD,"2021-03-12 18:59:00",61
102215,PMU84,STANDARD,"2021-03-12 19:01:00",61
102266,PMU84,STANDARD,"2021-03-12 19:03:00",61
102317,PMU84,STANDARD,"2021-03-12 19:05:00",60
102368,PMU84,STANDARD,"2021-03-12 19:07:00",60
102419,PMU84,STANDARD,"2021-03-12 19:09:00",60
102470,PMU84,STANDARD,"2021-03-12 19:11:00",60
102521,PMU84,STANDARD,"2021-03-12 19:13:00",58
102572,PMU84,STANDARD,"2021-03-12 19:15:00",58
102618,PMU84,STANDARD,"2021-03-12 19:17:00",57
102674,PMU84,STANDARD,"2021-03-12 19:20:00",57
102725,PMU84,STANDARD,"2021-03-12 19:21:00",57
102776,PMU84,STANDARD,"2021-03-12 19:24:00",57
102827,PMU84,STANDARD,"2021-03-12 19:25:00",59
102878,PMU84,STANDARD,"2021-03-12 19:28:00",57
102929,PMU84,STANDARD,"2021-03-12 19:29:00",57
102980,PMU84,STANDARD,"2021-03-12 19:32:00",56
103031,PMU84,STANDARD,"2021-03-12 19:33:00",56
103077,PMU84,STANDARD,"2021-03-12 19:35:00",56
103133,PMU84,STANDARD,"2021-03-12 19:37:00",56
103184,PMU84,STANDARD,"2021-03-12 19:39:00",56
103235,PMU84,STANDARD,"2021-03-12 19:41:00",56
103286,PMU84,STANDARD,"2021-03-12 19:43:00",56
103337,PMU84,STANDARD,"2021-03-12 19:45:00",56
103388,PMU84,STANDARD,"2021-03-12 19:47:00",56
103439,PMU84,STANDARD,"2021-03-12 19:49:00",56
103490,PMU84,STANDARD,"2021-03-12 19:51:00",55
103536,PMU84,STANDARD,"2021-03-12 19:53:00",55
103592,PMU84,STANDARD,"2021-03-12 19:55:00",55
103643,PMU84,STANDARD,"2021-03-12 19:58:00",55
103694,PMU84,STANDARD,"2021-03-12 19:59:00",55
103745,PMU84,STANDARD,"2021-03-12 20:02:00",56
103796,PMU84,STANDARD,"2021-03-12 20:03:00",55
103847,PMU84,STANDARD,"2021-03-12 20:06:00",55
103898,PMU84,STANDARD,"2021-03-12 20:07:00",55
103949,PMU84,STANDARD,"2021-03-12 20:10:00",55
103995,PMU84,STANDARD,"2021-03-12 20:11:00",55
104051,PMU84,STANDARD,"2021-03-12 20:13:00",55
104102,PMU84,STANDARD,"2021-03-12 20:15:00",55
104153,PMU84,STANDARD,"2021-03-12 20:17:00",54
104204,PMU84,STANDARD,"2021-03-12 20:19:00",54
104255,PMU84,STANDARD,"2021-03-12 20:21:00",55
104306,PMU84,STANDARD,"2021-03-12 20:23:00",55
104357,PMU84,STANDARD,"2021-03-12 20:25:00",55
104408,PMU84,STANDARD,"2021-03-12 20:27:00",55
104454,PMU84,STANDARD,"2021-03-12 20:29:00",55
104510,PMU84,STANDARD,"2021-03-12 20:32:00",55
